[139463] ['(3-3i)', '(5+i)', '(5+8i)', '(9-9i)'] -> (((3-3i) + ((5+8i) * (9-9i))) / (5+i))
[139475] ['(3-3i)', '(5+i)', '(5+9i)', '(6+6i)'] -> ((3-3i) * (((5+i) + (5+9i)) - (6+6i)))
[139488] ['(3-3i)', '(5+i)', '(5+9i)', '(9+9i)'] -> (((5+i) - (5+9i)) / ((3-3i) / (9+9i)))
[139508] ['(3-3i)', '(5+i)', '(6-9i)', '(9-4i)'] -> ((-9i * 2i) - ((3+5i) - (9+5i)))
[139553] ['(3-3i)', '(5+i)', '(6-6i)', '(6-4i)'] -> ((6-6i) * (((3-3i) + (5+i)) - (6-4i)))
[139554] ['(3-3i)', '(5+i)', '(6-6i)', '(6-3i)'] -> (((5+i) * (6-3i)) - ((3-3i) + (6-6i)))
[139555] ['(3-3i)', '(5+i)', '(6-6i)', '(6-2i)'] -> (((5+i) * (6-6i)) - ((3-3i) * (6-2i)))
[139559] ['(3-3i)', '(5+i)', '(6-6i)', '(6+6i)'] -> (((3-3i) * (6-6i)) + ((5+i) * (6+6i)))
[139560] ['(3-3i)', '(5+i)', '(6-6i)', '(7-9i)'] -> ((3-3i) * (((5+i) + (6-6i)) - (7-9i)))
[139563] ['(3-3i)', '(5+i)', '(6-6i)', '(7-i)'] -> (((5+i) + (7-i)) / ((3-3i) / (6-6i)))
[139587] ['(3-3i)', '(5+i)', '(6-5i)', '(7-8i)'] -> (-4i * (6 - ((2-4i) + (4-2i))))
[139608] ['(3-3i)', '(5+i)', '(6-4i)', '(6+6i)'] -> ((6+6i) * ((3-3i) - ((6-4i) / (5+i))))
[139609] ['(3-3i)', '(5+i)', '(6-4i)', '(7-7i)'] -> ((3-3i) * (((5+i) + (6-4i)) - (7-7i)))
[139616] ['(3-3i)', '(5+i)', '(6-4i)', '8'] -> (((3-3i) * (5+i)) / ((6-4i) / 8))
[139625] ['(3-3i)', '(5+i)', '(6-3i)', '(7-6i)'] -> ((3-3i) * (((5+i) + (6-3i)) - (7-6i)))
[139641] ['(3-3i)', '(5+i)', '(6-3i)', '(8+8i)'] -> (((3-3i) + (6-3i)) / ((5+i) / (8+8i)))
[139658] ['(3-3i)', '(5+i)', '(6-2i)', '(7-5i)'] -> ((3-3i) * (((5+i) + (6-2i)) - (7-5i)))
[139676] ['(3-3i)', '(5+i)', '(6-i)', '(7-4i)'] -> ((-9i * 2i) - ((3+9i) - (9+9i)))
[139691] ['(3-3i)', '(5+i)', '6', '6'] -> (6 * ((5+i) - (6 / (3-3i))))
[139693] ['(3-3i)', '(5+i)', '6', '(6+4i)'] -> (6 * ((6+4i) + ((3-3i) - (5+i))))
[139694] ['(3-3i)', '(5+i)', '6', '(6+6i)'] -> ((6+6i) * (((3-3i) + (5+i)) - 6))
[139695] ['(3-3i)', '(5+i)', '6', '(7-3i)'] -> ((3-3i) * (((5+i) + 6) - (7-3i)))
[139696] ['(3-3i)', '(5+i)', '6', '(7-2i)'] -> (((2-8i) - 4) + ((3-i) * (7+5i)))
[139703] ['(3-3i)', '(5+i)', '6', '8'] -> (((3-3i) * 8) / (6 - (5+i)))
[139708] ['(3-3i)', '(5+i)', '6', '(9+3i)'] -> (((3-3i) - (9+3i)) + ((5+i) * 6))
[139716] ['(3-3i)', '(5+i)', '(6+i)', '(7-2i)'] -> ((3-3i) * (((5+i) + (6+i)) - (7-2i)))
[139725] ['(3-3i)', '(5+i)', '(6+i)', '(8+8i)'] -> (((1-i) * (6+8i)) + ((5-2i) + 5))
[139737] ['(3-3i)', '(5+i)', '(6+2i)', '(7-i)'] -> ((3-3i) * (((5+i) + (6+2i)) - (7-i)))
[139746] ['(3-3i)', '(5+i)', '(6+2i)', '(9-9i)'] -> (((3-3i) + (9-9i)) * ((6+2i) - (5+i)))
[139754] ['(3-3i)', '(5+i)', '(6+3i)', '7'] -> ((3-3i) * (((5+i) + (6+3i)) - 7))
[139756] ['(3-3i)', '(5+i)', '(6+3i)', '(8-8i)'] -> (((3-3i) * (6+3i)) + ((5+i) - (8-8i)))
[139771] ['(3-3i)', '(5+i)', '(6+4i)', '(7+i)'] -> ((3-3i) * (((5+i) + (6+4i)) - (7+i)))
[139794] ['(3-3i)', '(5+i)', '(6+5i)', '(7+2i)'] -> (((2-4i) * (3+3i)) - ((2-4i) - (8+2i)))
[139800] ['(3-3i)', '(5+i)', '(6+5i)', '(9+7i)'] -> ((3-3i) * ((6+5i) - ((9+7i) / (5+i))))
[139807] ['(3-3i)', '(5+i)', '(6+6i)', '(7-i)'] -> (((3-3i) * (6+6i)) - ((5+i) + (7-i)))
[139809] ['(3-3i)', '(5+i)', '(6+6i)', '(7+3i)'] -> ((3-3i) * (((5+i) + (6+6i)) - (7+3i)))
[139821] ['(3-3i)', '(5+i)', '(6+6i)', '(9-5i)'] -> (((3-3i) + (9-5i)) / ((5+i) / (6+6i)))
[139822] ['(3-3i)', '(5+i)', '(6+6i)', '(9-3i)'] -> (((5+i) * ((9-3i) - (3-3i))) - (6+6i))
[139823] ['(3-3i)', '(5+i)', '(6+6i)', '(9+7i)'] -> (((3-3i) * ((9+7i) - (5+i))) - (6+6i))
[139827] ['(3-3i)', '(5+i)', '(6+7i)', '(7+4i)'] -> ((3-3i) * (((5+i) + (6+7i)) - (7+4i)))
[139836] ['(3-3i)', '(5+i)', '(6+8i)', '(7+5i)'] -> ((3-3i) * (((5+i) + (6+8i)) - (7+5i)))
[139846] ['(3-3i)', '(5+i)', '(6+8i)', '(9-6i)'] -> ((3-3i) + ((9-6i) / ((5+i) / (6+8i))))
[139855] ['(3-3i)', '(5+i)', '(6+9i)', '(7+6i)'] -> ((3-3i) * (((5+i) + (6+9i)) - (7+6i)))
[139857] ['(3-3i)', '(5+i)', '(6+9i)', '(8-6i)'] -> ((3-3i) + ((8-6i) / ((5+i) / (6+9i))))
[139865] ['(3-3i)', '(5+i)', '(6+9i)', '(9-8i)'] -> (((4-3i) + (6-5i)) + ((7+2i) + (7+6i)))
