[61033] ['(2-5i)', '(3+9i)', '(4-6i)', '(9+9i)'] -> (((9+9i) * ((4-6i) - (2-5i))) - (3+9i))
[61057] ['(2-5i)', '(3+9i)', '(4-5i)', '(9-9i)'] -> (((3+9i) + (9-9i)) * ((4-5i) - (2-5i)))
[61062] ['(2-5i)', '(3+9i)', '(4-4i)', '(4-4i)'] -> (((9-8i) / ((1-4i) / (6-7i))) - (2-7i))
[61080] ['(2-5i)', '(3+9i)', '(4-4i)', '(8+7i)'] -> ((4-4i) * ((8+7i) - ((2-5i) + (3+9i))))
[61081] ['(2-5i)', '(3+9i)', '(4-4i)', '(9-8i)'] -> (((2-5i) * (3+9i)) * ((4-4i) / (9-8i)))
[61092] ['(2-5i)', '(3+9i)', '(4-3i)', '(6+7i)'] -> (((2-5i) - (6+7i)) * ((3+9i) / (4-3i)))
[61098] ['(2-5i)', '(3+9i)', '(4-3i)', '(8+i)'] -> (((4-3i) * ((2-5i) + (3+9i))) - (8+i))
[61101] ['(2-5i)', '(3+9i)', '(4-2i)', '(4+6i)'] -> (((4-2i) * ((2-5i) + (3+9i))) - (4+6i))
[61171] ['(2-5i)', '(3+9i)', '(4+i)', '(8+9i)'] -> (((2-5i) * (4+i)) + ((3+9i) + (8+9i)))
[61177] ['(2-5i)', '(3+9i)', '(4+2i)', '(6-3i)'] -> (((2-5i) + (6-3i)) * ((3+9i) / (4+2i)))
[61214] ['(2-5i)', '(3+9i)', '(4+4i)', '(7-3i)'] -> ((9+8i) - ((4-i) * ((5+7i) - (9+6i))))
[61219] ['(2-5i)', '(3+9i)', '(4+4i)', '(8+i)'] -> (((3-i) + (7-4i)) + ((7-2i) + (7+7i)))
[61222] ['(2-5i)', '(3+9i)', '(4+4i)', '(8+9i)'] -> (((3-7i) - (7-3i)) * ((5-3i) - (8-6i)))
[61230] ['(2-5i)', '(3+9i)', '(4+5i)', '(7+9i)'] -> (((2-5i) + (4+5i)) * ((7+9i) - (3+9i)))
[61311] ['(2-5i)', '(3+9i)', '(5-9i)', '(5-5i)'] -> (((3+9i) + (5-9i)) * ((5-5i) - (2-5i)))
[61385] ['(2-5i)', '(3+9i)', '(5-5i)', '(9+3i)'] -> (((9+3i) * ((5-5i) - (2-5i))) - (3+9i))
[61398] ['(2-5i)', '(3+9i)', '(5-4i)', '9'] -> ((9 * ((5-4i) - (2-5i))) - (3+9i))
[61429] ['(2-5i)', '(3+9i)', '(5-2i)', '(6-3i)'] -> (((6-3i) * ((5-2i) - (2-5i))) - (3+9i))
[61548] ['(2-5i)', '(3+9i)', '(5+4i)', '(9-8i)'] -> (((2-5i) * (5+4i)) + ((3+9i) - (9-8i)))
