[386247] ['-6i', '(1+7i)', '(3+3i)', '(4+6i)'] -> (-6i * (((1+7i) + (3+3i)) - (4+6i)))
[386249] ['-6i', '(1+7i)', '(3+3i)', '(4+7i)'] -> (((1-2i) * ((2+4i) + (4+7i))) - (4-i))
[386250] ['-6i', '(1+7i)', '(3+3i)', '(5-3i)'] -> ((3+3i) - (-3i * ((8-9i) - (9-2i))))
[386251] ['-6i', '(1+7i)', '(3+3i)', '(5+9i)'] -> ((3+3i) * ((5+9i) + (-6i - (1+7i))))
[386252] ['-6i', '(1+7i)', '(3+3i)', '(6-6i)'] -> ((6-6i) * ((3+3i) - (-6i + (1+7i))))
[386258] ['-6i', '(1+7i)', '(3+3i)', '8'] -> (((3+3i) * 8) / (-6i + (1+7i)))
[386262] ['-6i', '(1+7i)', '(3+4i)', '(4+7i)'] -> (-6i * (((1+7i) + (3+4i)) - (4+7i)))
[386279] ['-6i', '(1+7i)', '(3+5i)', '(4+8i)'] -> (-6i * (((1+7i) + (3+5i)) - (4+8i)))
[386297] ['-6i', '(1+7i)', '(3+5i)', '(8+8i)'] -> ((-6i * (8+8i)) / ((3+5i) - (1+7i)))
[386306] ['-6i', '(1+7i)', '(3+6i)', '(4+8i)'] -> ((-6i * (4+8i)) / ((3+6i) - (1+7i)))
