[113807] ['-4i', '(1+7i)', '(3+9i)', '(4+5i)'] -> (((2-5i) + (6+5i)) * ((8+5i) - (5+5i)))
[113811] ['-4i', '(1+7i)', '(3+9i)', '(5-7i)'] -> (((5-7i) * ((3+9i) - (1+7i))) - -4i)
[113816] ['-4i', '(1+7i)', '(3+9i)', '(6-2i)'] -> ((-4i + (6-2i)) * ((3+9i) - (1+7i)))
[113818] ['-4i', '(1+7i)', '(3+9i)', '(6+3i)'] -> (-4i * ((1+7i) - ((3+9i) / (6+3i))))
[113821] ['-4i', '(1+7i)', '(3+9i)', '(6+6i)'] -> (((3-3i) * (8-8i)) / (4 - (4+2i)))
[113826] ['-4i', '(1+7i)', '(3+9i)', '(7+5i)'] -> ((-9i - -5i) * ((7+8i) - (7+2i)))
[113828] ['-4i', '(1+7i)', '(3+9i)', '8'] -> (((3+9i) * 8) / (-4i + (1+7i)))
[113842] ['-4i', '(1+7i)', '(4-9i)', '(5-8i)'] -> (-4i * (((1+7i) + (4-9i)) - (5-8i)))
[113843] ['-4i', '(1+7i)', '(4-9i)', '(5+4i)'] -> (-4i * ((5+4i) - ((1+7i) + (4-9i))))
[113854] ['-4i', '(1+7i)', '(4-9i)', '(7+3i)'] -> (((4-9i) * (-4i + (1+7i))) - (7+3i))
[113868] ['-4i', '(1+7i)', '(4-8i)', '(4+4i)'] -> (((4-8i) * (-4i + (1+7i))) - (4+4i))
