[276245] ['-3i', '2i', '(1+3i)', '(3-3i)'] -> ((-3i * 2i) * ((1+3i) + (3-3i)))
[276246] ['-3i', '2i', '(1+3i)', '(3+i)'] -> (-3i * (((1+3i) * (3+i)) - 2i))
[276249] ['-3i', '2i', '(1+3i)', '(4+4i)'] -> ((6+9i) + ((2-i) * ((3-7i) + (6+7i))))
[276252] ['-3i', '2i', '(1+3i)', '(5+3i)'] -> ((-3i * 2i) * ((5+3i) - (1+3i)))
[276258] ['-3i', '2i', '(1+3i)', '(6+6i)'] -> (-3i * ((6+6i) + (2i * (1+3i))))
[276259] ['-3i', '2i', '(1+3i)', '(8-8i)'] -> ((-3i * (8-8i)) / (2i - (1+3i)))
[276264] ['-3i', '2i', '(1+3i)', '(9+3i)'] -> ((9+3i) + (-3i * (2i + (1+3i))))
[276267] ['-3i', '2i', '(1+3i)', '(9+9i)'] -> (2i * ((-3i * (1+3i)) - (9+9i)))
[276273] ['-3i', '2i', '(1+4i)', '(3-4i)'] -> ((-3i * 2i) * ((1+4i) + (3-4i)))
[276282] ['-3i', '2i', '(1+4i)', '(5+4i)'] -> (((2-3i) + (8+5i)) / ((3-2i) / (6-6i)))
[276284] ['-3i', '2i', '(1+4i)', '(6+3i)'] -> (((2+6i) + (6-6i)) * ((4-6i) - (1-6i)))
[276290] ['-3i', '2i', '(1+4i)', '(8+2i)'] -> (-3i * ((1+4i) - ((8+2i) / 2i)))
[276291] ['-3i', '2i', '(1+4i)', '(8+6i)'] -> (-3i * ((8+6i) + (2i * (1+4i))))
[276300] ['-3i', '2i', '(1+5i)', '(3-5i)'] -> ((-3i * 2i) * ((1+5i) + (3-5i)))
[276303] ['-3i', '2i', '(1+5i)', '(3+3i)'] -> ((3+3i) + (-3i * (2i + (1+5i))))
[276312] ['-3i', '2i', '(1+5i)', '(5+5i)'] -> ((-3i * 2i) * ((5+5i) - (1+5i)))
[276314] ['-3i', '2i', '(1+5i)', '(6+2i)'] -> (-3i * ((1+5i) - ((6+2i) / 2i)))
[276316] ['-3i', '2i', '(1+5i)', '(9+i)'] -> ((-3i * (1+5i)) + (2i + (9+i)))
[276317] ['-3i', '2i', '(1+5i)', '(9+3i)'] -> (-3i + ((9+3i) / (2i / (1+5i))))
[276318] ['-3i', '2i', '(1+5i)', '(9+5i)'] -> ((-3i * (1+5i)) - (2i - (9+5i)))
[276320] ['-3i', '2i', '(1+6i)', '(3-7i)'] -> (((3-7i) * (-3i + (1+6i))) - 2i)
[276321] ['-3i', '2i', '(1+6i)', '(3-6i)'] -> ((-3i * 2i) * ((1+6i) + (3-6i)))
[276325] ['-3i', '2i', '(1+6i)', '(4+2i)'] -> (-3i * ((1+6i) - ((4+2i) / 2i)))
[276329] ['-3i', '2i', '(1+6i)', '(5+6i)'] -> ((-3i * 2i) * ((5+6i) - (1+6i)))
[276331] ['-3i', '2i', '(1+6i)', '(6-5i)'] -> (((1+6i) * (-3i - 2i)) - (6-5i))
[276332] ['-3i', '2i', '(1+6i)', '(6+i)'] -> ((-3i * (1+6i)) + (2i + (6+i)))
[276333] ['-3i', '2i', '(1+6i)', '(6+5i)'] -> ((-3i * (1+6i)) - (2i - (6+5i)))
[276342] ['-3i', '2i', '(1+7i)', '(2+2i)'] -> (-3i * ((1+7i) - ((2+2i) / 2i)))
[276343] ['-3i', '2i', '(1+7i)', '(3-7i)'] -> ((-3i * 2i) * ((1+7i) + (3-7i)))
[276344] ['-3i', '2i', '(1+7i)', '(3-3i)'] -> ((-3i * (2i + (1+7i))) - (3-3i))
[276345] ['-3i', '2i', '(1+7i)', '(3+i)'] -> ((-3i * (1+7i)) + (2i + (3+i)))
[276346] ['-3i', '2i', '(1+7i)', '(3+5i)'] -> ((-3i * (1+7i)) - (2i - (3+5i)))
[276356] ['-3i', '2i', '(1+7i)', '(5+7i)'] -> ((-3i * 2i) * ((5+7i) - (1+7i)))
[276358] ['-3i', '2i', '(1+7i)', '(6-6i)'] -> (((3-2i) * (6+i)) - ((2-3i) - (6+6i)))
[276369] ['-3i', '2i', '(1+8i)', '(3-8i)'] -> ((-3i * 2i) * ((1+8i) + (3-8i)))
[276376] ['-3i', '2i', '(1+8i)', '(5+8i)'] -> ((-3i * 2i) * ((5+8i) - (1+8i)))
[276378] ['-3i', '2i', '(1+8i)', '(6-3i)'] -> ((-3i * (2i + (1+8i))) - (6-3i))
[276381] ['-3i', '2i', '(1+8i)', '(8-i)'] -> ((8-i) - (-3i + (2i * (1+8i))))
[276383] ['-3i', '2i', '(1+8i)', '(8+5i)'] -> ((-3i + (8+5i)) - (2i * (1+8i)))
[276388] ['-3i', '2i', '(1+9i)', '(2-2i)'] -> (-3i * ((1+9i) + ((2-2i) / 2i)))
[276391] ['-3i', '2i', '(1+9i)', '(3-9i)'] -> ((-3i * 2i) * ((1+9i) + (3-9i)))
[276392] ['-3i', '2i', '(1+9i)', '(3-5i)'] -> ((-3i * (1+9i)) - (2i + (3-5i)))
[276393] ['-3i', '2i', '(1+9i)', '(3-i)'] -> ((-3i * (1+9i)) + (2i - (3-i)))
[276400] ['-3i', '2i', '(1+9i)', '(5+9i)'] -> ((-3i * 2i) * ((5+9i) - (1+9i)))
[276402] ['-3i', '2i', '(1+9i)', '(6-i)'] -> ((6-i) - (-3i + (2i * (1+9i))))
[276404] ['-3i', '2i', '(1+9i)', '(6+5i)'] -> ((-3i + (6+5i)) - (2i * (1+9i)))
[276405] ['-3i', '2i', '(1+9i)', '(6+6i)'] -> ((-3i * (1+9i)) - ((6+6i) / 2i))
[276413] ['-3i', '2i', '(1+9i)', '(9-3i)'] -> ((-3i * (2i + (1+9i))) - (9-3i))
[276415] ['-3i', '2i', '(2-9i)', '(2-3i)'] -> (-3i * ((2-3i) + (2i - (2-9i))))
[276416] ['-3i', '2i', '(2-9i)', '2'] -> (((3-2i) * ((2-3i) + (6+7i))) - (8-4i))
[276418] ['-3i', '2i', '(2-9i)', '(2+i)'] -> ((6+6i) * ((7-3i) - ((2-7i) + (3+6i))))
[276420] ['-3i', '2i', '(2-9i)', '(2+4i)'] -> (-3i * (((2+4i) / 2i) - (2-9i)))
[276421] ['-3i', '2i', '(2-9i)', '(2+6i)'] -> (2i * ((2-9i) - (-3i + (2+6i))))
[276423] ['-3i', '2i', '(2-9i)', '(2+9i)'] -> ((-3i * 2i) * ((2-9i) + (2+9i)))
[276424] ['-3i', '2i', '(2-9i)', '(3-6i)'] -> ((3-6i) - (-3i * (2i + (2-9i))))
[276425] ['-3i', '2i', '(2-9i)', '(3+8i)'] -> ((2i - (3+8i)) - (-3i * (2-9i)))
[276427] ['-3i', '2i', '(2-9i)', '(6-9i)'] -> ((-3i * 2i) * ((6-9i) - (2-9i)))
[276428] ['-3i', '2i', '(2-9i)', '(6-7i)'] -> ((2i * (2-9i)) - (-3i - (6-7i)))
[276429] ['-3i', '2i', '(2-9i)', '(6-i)'] -> ((-3i + (6-i)) + (2i * (2-9i)))
[276435] ['-3i', '2i', '(2-9i)', '(9-6i)'] -> (2i * ((2-9i) - ((9-6i) / -3i)))
[276437] ['-3i', '2i', '(2-9i)', '(9+6i)'] -> (((2-9i) + (6-2i)) + ((8+3i) + (8+8i)))
[276439] ['-3i', '2i', '(2-8i)', '(2-4i)'] -> ((2-4i) + (2i * (-3i + (2-8i))))
[276440] ['-3i', '2i', '(2-8i)', '(2-2i)'] -> (-3i * ((2-2i) + (2i - (2-8i))))
[276441] ['-3i', '2i', '(2-8i)', '(2+i)'] -> (2i * ((-3i + (2-8i)) - (2+i)))
[276442] ['-3i', '2i', '(2-8i)', '(2+2i)'] -> (-3i * ((2+2i) - (2i + (2-8i))))
[276443] ['-3i', '2i', '(2-8i)', '(2+7i)'] -> (2i * ((2-8i) - (-3i + (2+7i))))
[276444] ['-3i', '2i', '(2-8i)', '(2+8i)'] -> ((-3i * 2i) * ((2-8i) + (2+8i)))
[276448] ['-3i', '2i', '(2-8i)', '(4-8i)'] -> ((2-8i) + (2i * (-3i + (4-8i))))
[276449] ['-3i', '2i', '(2-8i)', '(4+9i)'] -> (-3i * ((4+9i) + ((2-8i) / 2i)))
