[483372] ['-5i', '4i', '(3+7i)', '(4+i)'] -> ((-5i + (4+i)) * ((3+7i) - 4i))
[483378] ['-5i', '4i', '(3+7i)', '(7+7i)'] -> ((-5i * 4i) - ((3+7i) - (7+7i)))
[483382] ['-5i', '4i', '(3+8i)', '(3+9i)'] -> (4i * ((-5i + (3+8i)) - (3+9i)))
[483383] ['-5i', '4i', '(3+8i)', '(4-8i)'] -> ((-5i + (3+8i)) * (4i + (4-8i)))
[483384] ['-5i', '4i', '(3+8i)', '4'] -> ((-5i + (3+8i)) * (4 - 4i))
[483390] ['-5i', '4i', '(3+8i)', '(7+8i)'] -> ((-5i * 4i) - ((3+8i) - (7+8i)))
[483395] ['-5i', '4i', '(3+9i)', '(7+9i)'] -> ((-5i * 4i) - ((3+9i) - (7+9i)))
[483396] ['-5i', '4i', '(3+9i)', '(8-4i)'] -> ((3+9i) * (((8-4i) / -5i) - 4i))
[483397] ['-5i', '4i', '(3+9i)', '8'] -> (8 * ((3+9i) + (-5i - 4i)))
[483398] ['-5i', '4i', '(4-9i)', '(4-8i)'] -> (4i * ((-5i + (4-9i)) - (4-8i)))
[483401] ['-5i', '4i', '(4-9i)', '(4+2i)'] -> ((-8i * (9+6i)) / ((7-8i) - (5-5i)))
[483404] ['-5i', '4i', '(4-9i)', '6'] -> (6 * ((4-9i) - (-5i - 4i)))
[483405] ['-5i', '4i', '(4-9i)', '(8-9i)'] -> ((-5i * 4i) - ((4-9i) - (8-9i)))
