[406013] ['-3i', '(4+5i)', '(5+3i)', '9'] -> (-3i * (((4+5i) + (5+3i)) - 9))
[406022] ['-3i', '(4+5i)', '(5+4i)', '(8+8i)'] -> ((-3i * (8+8i)) / ((5+4i) - (4+5i)))
[406023] ['-3i', '(4+5i)', '(5+4i)', '(8+9i)'] -> (((4+5i) - ((5+4i) * (8+9i))) / -3i)
[406027] ['-3i', '(4+5i)', '(5+4i)', '(9+i)'] -> (-3i * (((4+5i) + (5+4i)) - (9+i)))
[406042] ['-3i', '(4+5i)', '(5+5i)', '(9+2i)'] -> (-3i * (((4+5i) + (5+5i)) - (9+2i)))
[406055] ['-3i', '(4+5i)', '(5+6i)', '(8-8i)'] -> ((-3i * (8-8i)) / ((4+5i) - (5+6i)))
[406062] ['-3i', '(4+5i)', '(5+6i)', '(9+3i)'] -> (-3i * (((4+5i) + (5+6i)) - (9+3i)))
[406088] ['-3i', '(4+5i)', '(5+7i)', '(9+3i)'] -> ((5+7i) - ((9+3i) / (-3i / (4+5i))))
[406089] ['-3i', '(4+5i)', '(5+7i)', '(9+4i)'] -> (-3i * (((4+5i) + (5+7i)) - (9+4i)))
[406113] ['-3i', '(4+5i)', '(5+8i)', '(9+5i)'] -> (-3i * (((4+5i) + (5+8i)) - (9+5i)))
[406133] ['-3i', '(4+5i)', '(5+9i)', '(9+6i)'] -> (-3i * (((4+5i) + (5+9i)) - (9+6i)))
[406214] ['-3i', '(4+5i)', '(6-6i)', '(6+4i)'] -> ((6-6i) * ((6+4i) - (-3i + (4+5i))))
[406224] ['-3i', '(4+5i)', '(6-6i)', '(9-6i)'] -> ((6-6i) * ((4+5i) - ((9-6i) / -3i)))
[406227] ['-3i', '(4+5i)', '(6-6i)', '(9+6i)'] -> ((-3i * ((4+5i) - (6-6i))) - (9+6i))
[406230] ['-3i', '(4+5i)', '(6-5i)', '(6-3i)'] -> ((-6i / (2-i)) * ((9+8i) - 5))
[406234] ['-3i', '(4+5i)', '(6-5i)', '(6+6i)'] -> ((2-6i) - ((6+4i) * ((5+i) - 8)))
[406255] ['-3i', '(4+5i)', '(6-4i)', '(8-4i)'] -> (((6-4i) * (-3i + (4+5i))) - (8-4i))
[406267] ['-3i', '(4+5i)', '(6-3i)', '6'] -> ((5+2i) - ((2-i) * (-6i - (8-3i))))
[406268] ['-3i', '(4+5i)', '(6-3i)', '(6+i)'] -> (((6-3i) * (6+i)) - (-3i * (4+5i)))
[406271] ['-3i', '(4+5i)', '(6-3i)', '(6+7i)'] -> ((5+2i) + ((2-i) * (-6i + (8+9i))))
[406288] ['-3i', '(4+5i)', '(6-3i)', '(9+6i)'] -> (((6-3i) - ((4+5i) * (9+6i))) / -3i)
[406291] ['-3i', '(4+5i)', '(6-2i)', '(6+6i)'] -> ((6-2i) - ((6+6i) / (-3i / (4+5i))))
[406317] ['-3i', '(4+5i)', '6', '(6+6i)'] -> (-8i * (((1-3i) + (1+5i)) - (2-i)))
[406325] ['-3i', '(4+5i)', '6', '(8+2i)'] -> (6 * ((8+2i) - (-3i + (4+5i))))
[406326] ['-3i', '(4+5i)', '6', '(8+8i)'] -> (6 * ((8+8i) + (-3i - (4+5i))))
[406350] ['-3i', '(4+5i)', '(6+3i)', '(6+7i)'] -> ((4+5i) - ((6+7i) / (-3i / (6+3i))))
[406351] ['-3i', '(4+5i)', '(6+3i)', '(6+9i)'] -> ((-3i + (6+9i)) * ((6+3i) - (4+5i)))
