[40217] ['(4-9i)', '(5+6i)', '(6-6i)', '(9+9i)'] -> (((4-9i) + (5+6i)) + ((6-6i) + (9+9i)))
[40240] ['(4-9i)', '(5+6i)', '(6-5i)', '(9+8i)'] -> (((6-6i) * (8-4i)) / ((8-9i) - (7-6i)))
[40251] ['(4-9i)', '(5+6i)', '(6-4i)', '(9+7i)'] -> (((4-9i) + (5+6i)) + ((6-4i) + (9+7i)))
[40261] ['(4-9i)', '(5+6i)', '(6-3i)', '8'] -> (8 * (((4-9i) + (5+6i)) - (6-3i)))
[40269] ['(4-9i)', '(5+6i)', '(6-3i)', '(9+6i)'] -> (((4-9i) + (5+6i)) + ((6-3i) + (9+6i)))
[40287] ['(4-9i)', '(5+6i)', '(6-2i)', '(9+5i)'] -> (((4-9i) + (5+6i)) + ((6-2i) + (9+5i)))
[40302] ['(4-9i)', '(5+6i)', '(6-i)', '(9+4i)'] -> (8 * (((4-2i) + (8+4i)) - (9+2i)))
[40322] ['(4-9i)', '(5+6i)', '6', '(9+3i)'] -> (6 * ((4-4i) - ((1-4i) - 1)))
[40344] ['(4-9i)', '(5+6i)', '(6+i)', '(9+2i)'] -> (((4-9i) + (5+6i)) + ((6+i) + (9+2i)))
[40355] ['(4-9i)', '(5+6i)', '(6+2i)', '(9+i)'] -> (-4i * ((4+9i) + ((6-8i) / 2i)))
[40368] ['(4-9i)', '(5+6i)', '(6+3i)', '9'] -> (((4-9i) + (5+6i)) + ((6+3i) + 9))
[40383] ['(4-9i)', '(5+6i)', '(6+4i)', '(9-i)'] -> (((4-9i) + (5+6i)) + ((6+4i) + (9-i)))
[40396] ['(4-9i)', '(5+6i)', '(6+5i)', '(9-2i)'] -> (((6-9i) * (8+8i)) / ((9-9i) - (4-8i)))
[40406] ['(4-9i)', '(5+6i)', '(6+6i)', '(7-i)'] -> (((7-6i) * ((9-4i) - (6-6i))) - (9-4i))
