[137726] ['(1-i)', '(5-4i)', '(6-6i)', '(8-3i)'] -> ((6-6i) * ((8-3i) - ((1-i) + (5-4i))))
[137731] ['(1-i)', '(5-4i)', '(6-6i)', '(9-4i)'] -> ((((9-4i) - (5-4i)) * (6-6i)) / (1-i))
[137739] ['(1-i)', '(5-4i)', '(6-5i)', '(6+6i)'] -> ((6+6i) * ((6-5i) + ((1-i) - (5-4i))))
[137810] ['(1-i)', '(5-4i)', '(6-i)', '(8+8i)'] -> (-4i * ((9+6i) - ((2-5i) + (7+5i))))
[137820] ['(1-i)', '(5-4i)', '6', '6'] -> ((((5-4i) * 6) - 6) / (1-i))
[137828] ['(1-i)', '(5-4i)', '6', '(7-2i)'] -> (((1-i) * 6) * ((7-2i) - (5-4i)))
[137836] ['(1-i)', '(5-4i)', '6', '(8-3i)'] -> (6 * ((8-3i) + ((1-i) - (5-4i))))
[137838] ['(1-i)', '(5-4i)', '6', '(9-8i)'] -> ((((9-8i) - (5-4i)) * 6) / (1-i))
[137872] ['(1-i)', '(5-4i)', '(6+2i)', '(8-8i)'] -> ((3-3i) * (((5-i) + (7+3i)) - (8-2i)))
[137876] ['(1-i)', '(5-4i)', '(6+2i)', '8'] -> (8 * (((1-i) * (6+2i)) - (5-4i)))
[137883] ['(1-i)', '(5-4i)', '(6+3i)', '(6+7i)'] -> (((1-i) * (6+7i)) + ((5-4i) + (6+3i)))
[137897] ['(1-i)', '(5-4i)', '(6+3i)', '(9-6i)'] -> (((6+3i) * ((5-4i) - (1-i))) - (9-6i))
[137913] ['(1-i)', '(5-4i)', '(6+4i)', '(9+6i)'] -> (((1-i) * (6+4i)) + ((5-4i) + (9+6i)))
[137916] ['(1-i)', '(5-4i)', '(6+5i)', '(7+6i)'] -> (((1-i) * (7+6i)) + ((5-4i) + (6+5i)))
[137922] ['(1-i)', '(5-4i)', '(6+5i)', '(8+5i)'] -> (((1-i) * (6+5i)) + ((5-4i) + (8+5i)))
[137931] ['(1-i)', '(5-4i)', '(6+6i)', '(7-4i)'] -> (((1-i) * (6+6i)) * ((7-4i) - (5-4i)))
[137935] ['(1-i)', '(5-4i)', '(6+6i)', '(7+4i)'] -> (((1-i) * (6+6i)) + ((5-4i) + (7+4i)))
[137937] ['(1-i)', '(5-4i)', '(6+6i)', '(8-7i)'] -> (8 * (((4-6i) + (4+i)) - (5-5i)))
[137948] ['(1-i)', '(5-4i)', '(6+7i)', '(8+5i)'] -> (((1-i) * (8+5i)) + ((5-4i) + (6+7i)))
[137961] ['(1-i)', '(5-4i)', '(6+8i)', '(8+9i)'] -> ((6+8i) + ((1-i) * ((5-4i) + (8+9i))))
[137967] ['(1-i)', '(5-4i)', '(6+8i)', '(9+7i)'] -> ((9+7i) + ((1-i) * ((5-4i) + (6+8i))))
[137979] ['(1-i)', '(5-4i)', '(6+9i)', '(8+6i)'] -> ((8+6i) + ((1-i) * ((5-4i) + (6+9i))))
[137986] ['(1-i)', '(5-4i)', '(6+9i)', '(9+4i)'] -> (((3-8i) + (3+4i)) + ((9+i) + (9+3i)))
[137988] ['(1-i)', '(5-4i)', '(7-9i)', '(7-i)'] -> ((((5-4i) * (7-i)) - (7-9i)) / (1-i))
[138072] ['(1-i)', '(5-4i)', '(7-3i)', '8'] -> (8 * ((7-3i) + ((1-i) - (5-4i))))
[138095] ['(1-i)', '(5-4i)', '(7-i)', '(8-i)'] -> ((((7-i) * (5-4i)) / (1-i)) - (8-i))
[138110] ['(1-i)', '(5-4i)', '(7+i)', '(7+8i)'] -> ((((7+i) * (5-4i)) / (1-i)) - (7+8i))
[138115] ['(1-i)', '(5-4i)', '(7+i)', '(8-4i)'] -> (((1-i) + (7+i)) * ((8-4i) - (5-4i)))
[138141] ['(1-i)', '(5-4i)', '(7+3i)', '(9+8i)'] -> (((1-i) * (7+3i)) + ((5-4i) + (9+8i)))
[138150] ['(1-i)', '(5-4i)', '(7+4i)', '(8+7i)'] -> (((1-i) * (7+4i)) + ((5-4i) + (8+7i)))
[138161] ['(1-i)', '(5-4i)', '(7+5i)', '(7+6i)'] -> (((1-i) * (7+5i)) + ((5-4i) + (7+6i)))
[138178] ['(1-i)', '(5-4i)', '(7+7i)', '(7+9i)'] -> ((7+7i) + ((1-i) * ((5-4i) + (7+9i))))
[138187] ['(1-i)', '(5-4i)', '(7+7i)', '(9+9i)'] -> ((9+9i) + ((1-i) * ((5-4i) + (7+7i))))
[138192] ['(1-i)', '(5-4i)', '(7+8i)', '(8+4i)'] -> (((1-i) * (8+4i)) + ((5-4i) + (7+8i)))
[138195] ['(1-i)', '(5-4i)', '(7+8i)', '(8+8i)'] -> ((8+8i) + ((1-i) * ((5-4i) + (7+8i))))
[138210] ['(1-i)', '(5-4i)', '(7+9i)', '(8+8i)'] -> (((1-4i) * ((3-i) - -7i)) - (3-6i))
[138228] ['(1-i)', '(5-4i)', '(8-8i)', '(8-4i)'] -> ((((8-4i) - (5-4i)) * (8-8i)) / (1-i))
[138236] ['(1-i)', '(5-4i)', '(8-7i)', '8'] -> ((((8-7i) - (5-4i)) * 8) / (1-i))
[138300] ['(1-i)', '(5-4i)', '(8-i)', '(9+9i)'] -> ((1-i) * ((9+9i) - ((5-4i) - (8-i))))
[138305] ['(1-i)', '(5-4i)', '8', '(9-5i)'] -> (((9-6i) + (9-6i)) - ((2-5i) - (8+7i)))
[138312] ['(1-i)', '(5-4i)', '8', '(9+8i)'] -> ((1-i) * ((9+8i) - ((5-4i) - 8)))
[138317] ['(1-i)', '(5-4i)', '(8+i)', '(9+7i)'] -> ((1-i) * ((9+7i) - ((5-4i) - (8+i))))
[138326] ['(1-i)', '(5-4i)', '(8+2i)', '(9+6i)'] -> ((1-i) * ((9+6i) - ((5-4i) - (8+2i))))
[138327] ['(1-i)', '(5-4i)', '(8+3i)', '(8+9i)'] -> (((4-3i) + (8+3i)) * ((8-7i) - (6-7i)))
[138332] ['(1-i)', '(5-4i)', '(8+3i)', '(9+5i)'] -> ((1-i) * ((9+5i) - ((5-4i) - (8+3i))))
[138338] ['(1-i)', '(5-4i)', '(8+4i)', '(9+4i)'] -> ((1-i) * ((9+4i) - ((5-4i) - (8+4i))))
[138344] ['(1-i)', '(5-4i)', '(8+5i)', '(9+3i)'] -> ((1-i) * ((9+3i) - ((5-4i) - (8+5i))))
[138349] ['(1-i)', '(5-4i)', '(8+6i)', '(9+2i)'] -> ((1-i) * ((9+2i) - ((5-4i) - (8+6i))))
[138361] ['(1-i)', '(5-4i)', '(8+7i)', '(9+i)'] -> ((1-i) * ((9+i) - ((5-4i) - (8+7i))))
[138373] ['(1-i)', '(5-4i)', '(8+8i)', '9'] -> ((1-i) * (9 - ((5-4i) - (8+8i))))
[138374] ['(1-i)', '(5-4i)', '(8+8i)', '(9+i)'] -> ((8+8i) * ((1-i) + ((5-4i) / (9+i))))
[138381] ['(1-i)', '(5-4i)', '(8+9i)', '(9-i)'] -> ((-7i + (6+i)) * ((3-2i) - (1-4i)))
[138405] ['(1-i)', '(5-4i)', '(9-4i)', '(9+9i)'] -> (((1-i) + (5-4i)) + ((9-4i) + (9+9i)))
[138410] ['(1-i)', '(5-4i)', '(9-3i)', '(9+8i)'] -> (((6-5i) + (6+5i)) * ((7-7i) - (5-7i)))
[138416] ['(1-i)', '(5-4i)', '(9-2i)', '(9+7i)'] -> (((1-i) + (5-4i)) + ((9-2i) + (9+7i)))
[138420] ['(1-i)', '(5-4i)', '(9-i)', '(9+6i)'] -> (((1-i) + (5-4i)) + ((9-i) + (9+6i)))
[138424] ['(1-i)', '(5-4i)', '9', '(9+5i)'] -> (((1-i) + (5-4i)) + (9 + (9+5i)))
[138426] ['(1-i)', '(5-4i)', '(9+i)', '(9+4i)'] -> (6 * ((4+i) + ((4-6i) / (6+4i))))
[138431] ['(1-i)', '(5-4i)', '(9+2i)', '(9+3i)'] -> (((1-i) + (5-4i)) + ((9+2i) + (9+3i)))
[138462] ['(1-i)', '(5-3i)', '(5-3i)', '(8+6i)'] -> (((5-7i) + (6-5i)) + ((6+7i) + (7+5i)))
[138473] ['(1-i)', '(5-3i)', '(5-2i)', '(5+i)'] -> (((5+i) + ((5-3i) * (5-2i))) / (1-i))
