[370499] ['-8i', 'i', '(1+4i)', '(1+8i)'] -> (-8i * ((1+8i) - (i + (1+4i))))
[370500] ['-8i', 'i', '(1+4i)', '(2-4i)'] -> ((-8i * i) * ((1+4i) + (2-4i)))
[370505] ['-8i', 'i', '(1+4i)', '(4-7i)'] -> (((1+4i) * (-8i + i)) - (4-7i))
[370506] ['-8i', 'i', '(1+4i)', '(4-4i)'] -> (-8i * (((1+4i) / i) - (4-4i)))
[370519] ['-8i', 'i', '(1+4i)', '(7-i)'] -> (-8i * ((i * (7-i)) - (1+4i)))
[370525] ['-8i', 'i', '(1+4i)', '(8-9i)'] -> ((-8i * (1+4i)) - (i + (8-9i)))
[370526] ['-8i', 'i', '(1+4i)', '(8-7i)'] -> ((-8i * (1+4i)) + (i - (8-7i)))
[370530] ['-8i', 'i', '(1+4i)', '(8-2i)'] -> (-8i * (i - ((8-2i) / (1+4i))))
[370536] ['-8i', 'i', '(1+4i)', '(9-3i)'] -> ((-8i * (9-3i)) / (i - (1+4i)))
[370538] ['-8i', 'i', '(1+5i)', '(1+7i)'] -> (-8i * ((1+7i) + (i - (1+5i))))
[370540] ['-8i', 'i', '(1+5i)', '(1+9i)'] -> (-8i * ((1+9i) - (i + (1+5i))))
[370543] ['-8i', 'i', '(1+5i)', '(2-5i)'] -> (-6i * ((6+3i) - ((1+i) + (5-2i))))
[370561] ['-8i', 'i', '(1+5i)', '(5-4i)'] -> (-8i * (((1+5i) / i) - (5-4i)))
[370578] ['-8i', 'i', '(1+5i)', '(8-8i)'] -> ((-8i * ((1+5i) - i)) - (8-8i))
[370579] ['-8i', 'i', '(1+5i)', '(8-i)'] -> (-8i * ((i * (8-i)) - (1+5i)))
[370587] ['-8i', 'i', '(1+6i)', '(1+8i)'] -> (-8i * ((1+8i) + (i - (1+6i))))
[370589] ['-8i', 'i', '(1+6i)', '(2-6i)'] -> ((-8i * i) * ((1+6i) + (2-6i)))
[370607] ['-8i', 'i', '(1+6i)', '(6-4i)'] -> (-8i * (((1+6i) / i) - (6-4i)))
[370629] ['-8i', 'i', '(1+6i)', '(9-i)'] -> (-8i * ((i * (9-i)) - (1+6i)))
[370632] ['-8i', 'i', '(1+7i)', '(1+9i)'] -> (-8i * ((1+9i) + (i - (1+7i))))
[370633] ['-8i', 'i', '(1+7i)', '(2-7i)'] -> ((-8i * i) * ((1+7i) + (2-7i)))
[370653] ['-8i', 'i', '(1+7i)', '(7-4i)'] -> (-8i * (((1+7i) / i) - (7-4i)))
[370675] ['-8i', 'i', '(1+8i)', '(2-8i)'] -> ((-8i * i) * ((1+8i) + (2-8i)))
[370712] ['-8i', 'i', '(1+8i)', '(8-4i)'] -> (-8i * (((1+8i) / i) - (8-4i)))
[370719] ['-8i', 'i', '(1+9i)', '(2-9i)'] -> ((-8i * i) * ((1+9i) + (2-9i)))
[370752] ['-8i', 'i', '(1+9i)', '(9-4i)'] -> (-8i * (((1+9i) / i) - (9-4i)))
