[117242] ['(3-6i)', '(3+2i)', '(4-i)', '(7+i)'] -> 3-6i + 7+i + 3+2i * 4-i
[117260] ['(3-6i)', '(3+2i)', '4', '(6-8i)'] -> 5+8i - 4-3i * (5-9i - 9-8i)
[117263] ['(3-6i)', '(3+2i)', '4', '(6-2i)'] -> 4 * 6-2i - (3-6i - 3+2i)
[117264] ['(3-6i)', '(3+2i)', '4', '(6+2i)'] -> 3-6i - 3+2i + 4 * 6+2i
[117265] ['(3-6i)', '(3+2i)', '4', '(6+8i)'] -> 4 * (6+8i + 3-6i - 3+2i)
[117272] ['(3-6i)', '(3+2i)', '4', '8'] -> 3-6i * 8 / (4 - 3+2i)
[117277] ['(3-6i)', '(3+2i)', '4', '(9-4i)'] -> 3+2i * (3-6i + 4) - 9-4i
[117278] ['(3-6i)', '(3+2i)', '4', '(9-2i)'] -> 1-i * 8+5i + 4-i + 7+4i
[117295] ['(3-6i)', '(3+2i)', '(4+i)', '(7-i)'] -> 3+2i * (3-6i + 4+i) - 7-i
[117304] ['(3-6i)', '(3+2i)', '(4+i)', '(9-i)'] -> 4+i * (9-i - 3+2i) - 3-6i
[117311] ['(3-6i)', '(3+2i)', '(4+2i)', '(5+2i)'] -> 3+2i * (3-6i + 4+2i) - 5+2i
[117318] ['(3-6i)', '(3+2i)', '(4+2i)', '(7-2i)'] -> 3-6i - 4+2i + 3+2i * 7-2i
[117322] ['(3-6i)', '(3+2i)', '(4+2i)', '(8-4i)'] -> 4+2i * (3-6i + 3+2i) - 8-4i
[117323] ['(3-6i)', '(3+2i)', '(4+2i)', '(8-2i)'] -> 3-6i * (3+2i - 8-2i / 4+2i)
[117347] ['(3-6i)', '(3+2i)', '(4+3i)', '(9-6i)'] -> (3-6i + 9-6i) * (4+3i - 3+2i)
[117351] ['(3-6i)', '(3+2i)', '(4+4i)', '(6-9i)'] -> 4+4i * (3-6i - 6-9i / 3+2i)
[117364] ['(3-6i)', '(3+2i)', '(4+4i)', '(9-7i)'] -> 4+4i * (9-7i - (3-6i + 3+2i))
[117376] ['(3-6i)', '(3+2i)', '(4+5i)', '(7-5i)'] -> 3-5i * 3+3i - (3-8i - 3-2i)
[117379] ['(3-6i)', '(3+2i)', '(4+5i)', '(8-8i)'] -> 3-6i * 8-8i / (3+2i - 4+5i)
[117426] ['(3-6i)', '(3+2i)', '(4+7i)', '(6-3i)'] -> 3+2i * (6-3i + 3-6i / 4+7i)
