[113863] ['(1-4i)', '(3-9i)', '5', '(5+8i)'] -> (((3-9i) / 5) * ((5+8i) - (1-4i)))
[113878] ['(1-4i)', '(3-9i)', '5', '(9-8i)'] -> ((3-9i) * (((9-8i) / 5) - (1-4i)))
[113930] ['(1-4i)', '(3-9i)', '(5+4i)', '(6+7i)'] -> (((1-4i) * (5+4i)) - ((3-9i) - (6+7i)))
[113931] ['(1-4i)', '(3-9i)', '(5+4i)', '(7-9i)'] -> (((1-4i) + (5+4i)) * ((7-9i) - (3-9i)))
[113941] ['(1-4i)', '(3-9i)', '(5+4i)', '(9-3i)'] -> (((1-4i) * (3-9i)) + ((5+4i) * (9-3i)))
[113986] ['(1-4i)', '(3-9i)', '(5+6i)', '(9+9i)'] -> (((3-9i) * (5+6i)) - ((1-4i) * (9+9i)))
[113990] ['(1-4i)', '(3-9i)', '(5+7i)', '(6-4i)'] -> (((4-3i) - (6-5i)) + ((4+i) * (6-2i)))
[114053] ['(1-4i)', '(3-9i)', '(6-9i)', '(7+4i)'] -> (((1-4i) + (7+4i)) * ((6-9i) - (3-9i)))
[114107] ['(1-4i)', '(3-9i)', '(6-7i)', '(9-9i)'] -> ((((9-9i) * (6-7i)) / (1-4i)) - (3-9i))
[114117] ['(1-4i)', '(3-9i)', '(6-6i)', '(7+3i)'] -> ((1-i) * ((8+6i) - ((4-3i) - (8+3i))))
[114123] ['(1-4i)', '(3-9i)', '(6-6i)', '(8+2i)'] -> ((6-6i) + (((8+2i) * (3-9i)) / (1-4i)))
[114136] ['(1-4i)', '(3-9i)', '(6-5i)', '6'] -> (6i * ((6-2i) - (-7i + (6+9i))))
[114225] ['(1-4i)', '(3-9i)', '(6-2i)', '(7-5i)'] -> (((1-4i) * ((6-2i) - (3-9i))) - (7-5i))
[114357] ['(1-4i)', '(3-9i)', '(6+3i)', '(9-i)'] -> ((4 * 8) - ((3-3i) + (5+3i)))
[114414] ['(1-4i)', '(3-9i)', '(6+6i)', '(9+i)'] -> ((((3-9i) - (9+i)) * (6+6i)) / (1-4i))
[114419] ['(1-4i)', '(3-9i)', '(6+7i)', '(7-8i)'] -> (((1-4i) * (6+7i)) - ((3-9i) + (7-8i)))
[114620] ['(1-4i)', '(3-9i)', '(7-2i)', '(8-9i)'] -> (((1-4i) * ((7-2i) - (3-9i))) - (8-9i))
[115037] ['(1-4i)', '(3-8i)', '(3-7i)', '(6+5i)'] -> (((4-2i) * ((1-i) + (5+5i))) - (8+4i))
[115088] ['(1-4i)', '(3-8i)', '(3-6i)', '(6-2i)'] -> (((1-4i) * ((6-2i) - (3-8i))) - (3-6i))
[115102] ['(1-4i)', '(3-8i)', '(3-6i)', '(9-6i)'] -> ((-i + (3-2i)) * ((5+4i) - 1))
[115110] ['(1-4i)', '(3-8i)', '(3-5i)', '(4-9i)'] -> (((3-8i) + (4-9i)) - ((1-4i) * (3-5i)))
[115163] ['(1-4i)', '(3-8i)', '(3-4i)', '(8-8i)'] -> (((3-8i) + (8-8i)) - ((1-4i) * (3-4i)))
[115173] ['(1-4i)', '(3-8i)', '(3-4i)', '(9+3i)'] -> ((4-4i) * ((9-2i) - ((3-6i) + (3+i))))
[115175] ['(1-4i)', '(3-8i)', '(3-4i)', '(9+8i)'] -> (((3-8i) + (9+8i)) * ((3-4i) - (1-4i)))
[115203] ['(1-4i)', '(3-8i)', '(3-3i)', '6'] -> ((3-3i) * (6 + ((1-4i) - (3-8i))))
[115210] ['(1-4i)', '(3-8i)', '(3-3i)', '(8-8i)'] -> ((4-4i) * ((3+i) - ((3-8i) - (3-6i))))
[115223] ['(1-4i)', '(3-8i)', '(3-2i)', '(3+2i)'] -> (((3-8i) + (3+2i)) * ((3-2i) - (1-4i)))
[115270] ['(1-4i)', '(3-8i)', '(3-i)', '(4+7i)'] -> (((1-4i) * ((3-i) - (3-8i))) - (4+7i))
[115272] ['(1-4i)', '(3-8i)', '(3-i)', '(5-7i)'] -> (((3-8i) * (3-i)) - ((1-4i) * (5-7i)))
[115280] ['(1-4i)', '(3-8i)', '(3-i)', '(6-7i)'] -> (((3-8i) * ((3-i) - (1-4i))) - (6-7i))
[115329] ['(1-4i)', '(3-8i)', '3', '(6-5i)'] -> (((1-4i) + 3) * ((6-5i) - (3-8i)))
[115334] ['(1-4i)', '(3-8i)', '3', '(6+4i)'] -> (3 * ((6+4i) - ((1-4i) - (3-8i))))
[115351] ['(1-4i)', '(3-8i)', '3', '(8+8i)'] -> (((2-8i) * (7+7i)) + ((2+6i) * (4+9i)))
[115383] ['(1-4i)', '(3-8i)', '(3+i)', '(7-i)'] -> (((3+i) * (7-i)) - ((1-4i) - (3-8i)))
[115402] ['(1-4i)', '(3-8i)', '(3+2i)', '(4-2i)'] -> (((3+2i) * ((1-4i) + (4-2i))) - (3-8i))
[115449] ['(1-4i)', '(3-8i)', '(3+3i)', '(4+5i)'] -> (((1-4i) * (4+5i)) - ((3-8i) - (3+3i)))
[115455] ['(1-4i)', '(3-8i)', '(3+3i)', '(6-8i)'] -> ((3+3i) * ((6-8i) + ((1-4i) - (3-8i))))
[115483] ['(1-4i)', '(3-8i)', '(3+4i)', '(3+8i)'] -> (((1-4i) + (3+4i)) * ((3-8i) + (3+8i)))
[115504] ['(1-4i)', '(3-8i)', '(3+4i)', '8'] -> (((1-4i) * (3+4i)) - ((3-8i) - 8))
[115505] ['(1-4i)', '(3-8i)', '(3+4i)', '(8+2i)'] -> (((3-3i) * (4+i)) + ((4+3i) + (5+6i)))
[115511] ['(1-4i)', '(3-8i)', '(3+4i)', '(9-8i)'] -> (((1-4i) + (3+4i)) * ((9-8i) - (3-8i)))
[115520] ['(1-4i)', '(3-8i)', '(3+5i)', '(4-i)'] -> (((1-4i) * (3+5i)) - ((3-8i) - (4-i)))
[115566] ['(1-4i)', '(3-8i)', '(3+6i)', '6'] -> (((4-7i) + (6+4i)) + (7 + (7+3i)))
[115585] ['(1-4i)', '(3-8i)', '(3+7i)', '(4+3i)'] -> (((1-4i) * (3+7i)) - ((3-8i) + (4+3i)))
[115613] ['(1-4i)', '(3-8i)', '(3+8i)', '(5-4i)'] -> (((3-8i) + (3+8i)) * ((5-4i) - (1-4i)))
[115624] ['(1-4i)', '(3-8i)', '(3+8i)', '(8+4i)'] -> (((5-i) * (7+3i)) - ((7-i) + (7+9i)))
[115634] ['(1-4i)', '(3-8i)', '(3+9i)', '5'] -> (((1-4i) + (3-8i)) * ((3+9i) / 5))
[115654] ['(1-4i)', '(3-8i)', '(3+9i)', '(8+8i)'] -> (((3+9i) * (8+8i)) / ((1-4i) - (3-8i)))
[115744] ['(1-4i)', '(3-8i)', '(4-6i)', '(4+5i)'] -> ((8+8i) - ((8-4i) * ((5-i) - (7-i))))
[115755] ['(1-4i)', '(3-8i)', '(4-6i)', '(6+6i)'] -> ((6+6i) * ((4-6i) + ((1-4i) - (3-8i))))
[115806] ['(1-4i)', '(3-8i)', '(4-4i)', '(5-i)'] -> ((4-4i) * ((5-i) + ((1-4i) - (3-8i))))
[115809] ['(1-4i)', '(3-8i)', '(4-4i)', '(5+2i)'] -> (((4-4i) * (5+2i)) - ((1-4i) + (3-8i)))
[115810] ['(1-4i)', '(3-8i)', '(4-4i)', '(5+8i)'] -> (((3-8i) + (5+8i)) * ((4-4i) - (1-4i)))
[115817] ['(1-4i)', '(3-8i)', '(4-4i)', '(7-9i)'] -> ((4-4i) * ((7-9i) - ((1-4i) + (3-8i))))
[115862] ['(1-4i)', '(3-8i)', '(4-2i)', '(4+3i)'] -> (((4-2i) * (4+3i)) - ((1-4i) - (3-8i)))
[115866] ['(1-4i)', '(3-8i)', '(4-2i)', '(5-6i)'] -> (((5-6i) * ((4-2i) - (1-4i))) - (3-8i))
[115875] ['(1-4i)', '(3-8i)', '(4-2i)', '(6-6i)'] -> ((6-6i) * ((4-2i) + ((1-4i) - (3-8i))))
[115878] ['(1-4i)', '(3-8i)', '(4-2i)', '(6+6i)'] -> (((1-i) / (4-2i)) * (8 * (9+3i)))
[115892] ['(1-4i)', '(3-8i)', '(4-i)', '(4+4i)'] -> (((4-3i) + (4+2i)) + ((7+3i) + (9-2i)))
[115898] ['(1-4i)', '(3-8i)', '(4-i)', '(5+3i)'] -> (((1-4i) * ((4-i) - (3-8i))) - (5+3i))
[115924] ['(1-4i)', '(3-8i)', '4', '(4+4i)'] -> (-4i * (((1+8i) + (2-9i)) - (3-7i)))
[115931] ['(1-4i)', '(3-8i)', '4', '(5+3i)'] -> (((1-4i) + (3-8i)) + (4 * (5+3i)))
[115940] ['(1-4i)', '(3-8i)', '4', '(7-3i)'] -> ((4 * (7-3i)) - ((1-4i) + (3-8i)))
[115945] ['(1-4i)', '(3-8i)', '4', '(8-4i)'] -> (4 * ((8-4i) + ((1-4i) - (3-8i))))
[115954] ['(1-4i)', '(3-8i)', '4', '(9+4i)'] -> (((1-4i) * (4 - (3-8i))) - (9+4i))
[116029] ['(1-4i)', '(3-8i)', '(4+4i)', '(5-7i)'] -> ((((4-i) * (8-4i)) - 4) / (1-i))
[116044] ['(1-4i)', '(3-8i)', '(4+4i)', '(7+4i)'] -> (((1-4i) * (4+4i)) - ((3-8i) - (7+4i)))
[116106] ['(1-4i)', '(3-8i)', '(4+6i)', '(8-4i)'] -> (((4+6i) * ((3-8i) - (1-4i))) - (8-4i))
[116123] ['(1-4i)', '(3-8i)', '(4+7i)', '(5-i)'] -> ((2-2i) * ((1-9i) + ((1+3i) * 5)))
[116178] ['(1-4i)', '(3-8i)', '(4+8i)', '9'] -> (((1-4i) * (4+8i)) - ((3-8i) + 9))
[116297] ['(1-4i)', '(3-8i)', '(5-6i)', '(5-2i)'] -> (((1-4i) + (5-2i)) * ((5-6i) - (3-8i)))
[116367] ['(1-4i)', '(3-8i)', '(5-4i)', '8'] -> (8 * ((5-4i) + ((1-4i) - (3-8i))))
[116393] ['(1-4i)', '(3-8i)', '(5-3i)', '(9-4i)'] -> ((3-3i) * ((6+4i) - ((8+2i) / (4+i))))
[116419] ['(1-4i)', '(3-8i)', '(5-i)', '(6-i)'] -> (((1-4i) * ((5-i) - (3-8i))) - (6-i))
[116504] ['(1-4i)', '(3-8i)', '(5+2i)', '(9-2i)'] -> ((5+2i) + (((9-2i) * (3-8i)) / (1-4i)))
[116538] ['(1-4i)', '(3-8i)', '(5+4i)', '(6+8i)'] -> (((1-4i) * (5+4i)) - ((3-8i) - (6+8i)))
[116541] ['(1-4i)', '(3-8i)', '(5+4i)', '(7-8i)'] -> (((4+3i) + (8-3i)) * ((6-3i) - (4-3i)))
[116609] ['(1-4i)', '(3-8i)', '(5+7i)', '(6-5i)'] -> (((1-4i) * (5+7i)) - ((3-8i) + (6-5i)))
[116694] ['(1-4i)', '(3-8i)', '(6-8i)', '(7+4i)'] -> (((1-4i) + (7+4i)) * ((6-8i) - (3-8i)))
