[194355] ['-4i', '3', '3', '(5+4i)'] -> (3 * ((5+4i) + (-4i + 3)))
[194356] ['-4i', '3', '3', '(6-6i)'] -> (-4i * ((3 + 3) - (6-6i)))
[194358] ['-4i', '3', '3', '(6+6i)'] -> (-4i * ((6+6i) - (3 + 3)))
[194361] ['-4i', '3', '3', '(7+4i)'] -> ((2-2i) * ((7+4i) + ((3-3i) - (4-5i))))
[194364] ['-4i', '3', '3', '(8-4i)'] -> ((3 * (8-4i)) - (-4i * 3))
[194365] ['-4i', '3', '3', '(8+4i)'] -> ((-4i * 3) + (3 * (8+4i)))
[194368] ['-4i', '3', '3', '(9-6i)'] -> (-4i * ((3 * 3) - (9-6i)))
[194370] ['-4i', '3', '3', '(9-4i)'] -> ((3 * ((9-4i) - -4i)) - 3)
[194374] ['-4i', '3', '3', '(9+4i)'] -> ((3 * (-4i + (9+4i))) - 3)
[194375] ['-4i', '3', '3', '(9+6i)'] -> (-4i * ((9+6i) - (3 * 3)))
[194379] ['-4i', '3', '(3+i)', '(3+3i)'] -> ((-4i * 3) * ((3+3i) - (3+i)))
[194387] ['-4i', '3', '(3+i)', '4'] -> (-4i + (4 * (3 + (3+i))))
[194396] ['-4i', '3', '(3+i)', '(5-5i)'] -> (3 * ((5-5i) - (-4i - (3+i))))
[194400] ['-4i', '3', '(3+i)', '(5+3i)'] -> (3 * ((5+3i) + (-4i + (3+i))))
[194403] ['-4i', '3', '(3+i)', '(6-6i)'] -> (((3+i) * (6-6i)) - (-4i * 3))
[194404] ['-4i', '3', '(3+i)', '(6-5i)'] -> (-4i * ((3 + (3+i)) - (6-5i)))
[194406] ['-4i', '3', '(3+i)', '(6+7i)'] -> (-4i * ((6+7i) - (3 + (3+i))))
[194411] ['-4i', '3', '(3+i)', '(7+i)'] -> ((-4i + (3+i)) + (3 * (7+i)))
[194412] ['-4i', '3', '(3+i)', '(7+4i)'] -> ((-4i + (3+i)) * ((7+4i) - 3))
[194419] ['-4i', '3', '(3+i)', '(9-3i)'] -> (-4i * ((3 * (3+i)) - (9-3i)))
[194420] ['-4i', '3', '(3+i)', '(9-i)'] -> ((3 * (9-i)) - (-4i + (3+i)))
[194423] ['-4i', '3', '(3+i)', '(9+9i)'] -> (-4i * ((9+9i) - (3 * (3+i))))
[194424] ['-4i', '3', '(3+2i)', '(3+4i)'] -> ((3-3i) - ((4-3i) * ((2-2i) - (5+i))))
[194432] ['-4i', '3', '(3+2i)', '(5-6i)'] -> (8 * ((7+8i) + ((1-4i) - (5+4i))))
[194436] ['-4i', '3', '(3+2i)', '(5+2i)'] -> (3 * ((5+2i) + (-4i + (3+2i))))
[194439] ['-4i', '3', '(3+2i)', '(6-4i)'] -> (((3-2i) + (4+3i)) + ((8-i) + 9))
[194442] ['-4i', '3', '(3+2i)', '(6+8i)'] -> ((((3+8i) + (9-8i)) * (4-8i)) / (2-4i))
[194446] ['-4i', '3', '(3+2i)', '(7-2i)'] -> ((3 * (7-2i)) - (-4i - (3+2i)))
[194448] ['-4i', '3', '(3+2i)', '(7+6i)'] -> (((1-7i) - (9-7i)) * ((6-8i) - (9-8i)))
