[92637] ['(3-3i)', '(3+i)', '(5-i)', '(7+7i)'] -> 3-3i * 3+i + 5-i + 7+7i
[92643] ['(3-3i)', '(3+i)', '(5-i)', '(8-2i)'] -> (4-4i + 8+4i) * (8+2i - 6+2i)
[92656] ['(3-3i)', '(3+i)', '5', '(6-2i)'] -> 3-3i + 6-2i + 3+i * 5
[92657] ['(3-3i)', '(3+i)', '5', '(6+3i)'] -> 3-3i * (6+3i + 3+i - 5)
[92668] ['(3-3i)', '(3+i)', '5', '(7+6i)'] -> 4 + 1-i * (3+6i + 7+4i)
[92676] ['(3-3i)', '(3+i)', '5', '(8+4i)'] -> 3-3i * 3+i * 8+4i / 5
[92694] ['(3-3i)', '(3+i)', '(5+i)', '(6-8i)'] -> 3-3i * (5+i - 6-8i / 3+i)
[92696] ['(3-3i)', '(3+i)', '(5+i)', '(6+4i)'] -> 3-3i * (6+4i + 3+i - 5+i)
[92703] ['(3-3i)', '(3+i)', '(5+i)', '(7-5i)'] -> -9i * -8i / (-3i - 3-3i)
[92709] ['(3-3i)', '(3+i)', '(5+i)', '(7+5i)'] -> 3-3i * 3+i + 5+i + 7+5i
[92713] ['(3-3i)', '(3+i)', '(5+i)', '(8-4i)'] -> 5+i * (3-3i + 3+i) - 8-4i
[92718] ['(3-3i)', '(3+i)', '(5+i)', '(8+8i)'] -> (1-9i - 1-3i) * (3+5i - 3+i)
[92726] ['(3-3i)', '(3+i)', '(5+i)', '(9+3i)'] -> (3-3i + 9+3i) * (5+i - 3+i)
