[443148] ['-6i', '(4-9i)', '(4+5i)', '8'] -> -6i * (8 - (4-9i + 4+5i))
[443155] ['-6i', '(4-9i)', '(4+6i)', '(8-7i)'] -> 8-3i - 1-2i * (6-8i - 8-i)
[443157] ['-6i', '(4-9i)', '(4+6i)', '(8+i)'] -> -6i * (8+i - (4-9i + 4+6i))
[443164] ['-6i', '(4-9i)', '(4+7i)', '(8-6i)'] -> -6i * (4-9i + 4+7i - 8-6i)
[443165] ['-6i', '(4-9i)', '(4+7i)', '(8+2i)'] -> -6i * (8+2i - (4-9i + 4+7i))
[443168] ['-6i', '(4-9i)', '(4+7i)', '9'] -> (4-9i - 4+7i) / (-6i / 9)
[443179] ['-6i', '(4-9i)', '(4+8i)', '(8-5i)'] -> -6i * (4-9i + 4+8i - 8-5i)
[443182] ['-6i', '(4-9i)', '(4+8i)', '(8+3i)'] -> -6i * (8+3i - (4-9i + 4+8i))
[443197] ['-6i', '(4-9i)', '(4+9i)', '(8-4i)'] -> 8 - -2i * (1-7i - 1+i)
[443199] ['-6i', '(4-9i)', '(4+9i)', '8'] -> (4-9i - 4+9i) / (-6i / 8)
[443201] ['-6i', '(4-9i)', '(4+9i)', '(8+4i)'] -> -6i * (8+4i - (4-9i + 4+9i))
[443242] ['-6i', '(4-9i)', '(5-7i)', '(8-4i)'] -> -6i * 8-4i / (4-9i - 5-7i)
[443261] ['-6i', '(4-9i)', '(5-4i)', '(6-6i)'] -> 2+4i + 1-7i * (-2i + 1+5i)
[443264] ['-6i', '(4-9i)', '(5-4i)', '(9-9i)'] -> -6i * (9-9i - (4-9i + 5-4i))
[443269] ['-6i', '(4-9i)', '(5-3i)', '(5+3i)'] -> 5+3i * (4-9i - -6i) - 5-3i
[443278] ['-6i', '(4-9i)', '(5-3i)', '(9-8i)'] -> -6i * (9-8i - (4-9i + 5-3i))
[443291] ['-6i', '(4-9i)', '(5-2i)', '(9-7i)'] -> -6i * (9-7i - (4-9i + 5-2i))
[443300] ['-6i', '(4-9i)', '(5-i)', '(9-6i)'] -> -6i * (9-6i - (4-9i + 5-i))
[443311] ['-6i', '(4-9i)', '5', '(8-8i)'] -> (4-9i + 5) / (-6i / 8-8i)
[443314] ['-6i', '(4-9i)', '5', '(9-5i)'] -> -6i * (9-5i - (4-9i + 5))
[443320] ['-6i', '(4-9i)', '(5+i)', '(9-4i)'] -> -6i * (9-4i - (4-9i + 5+i))
[443336] ['-6i', '(4-9i)', '(5+2i)', '(9-3i)'] -> -6i * (9-3i - (4-9i + 5+2i))
[443354] ['-6i', '(4-9i)', '(5+3i)', '(9-2i)'] -> -6i * (9-2i - (4-9i + 5+3i))
[443359] ['-6i', '(4-9i)', '(5+4i)', '(8+i)'] -> 5+4i * (4-9i - -6i) - 8+i
[443360] ['-6i', '(4-9i)', '(5+4i)', '(9-9i)'] -> -6i * (4-9i + 5+4i - 9-9i)
[443361] ['-6i', '(4-9i)', '(5+4i)', '(9-i)'] -> -6i * (9-i - (4-9i + 5+4i))
[443364] ['-6i', '(4-9i)', '(5+5i)', '(9-8i)'] -> -6i * (4-9i + 5+5i - 9-8i)
[443366] ['-6i', '(4-9i)', '(5+5i)', '9'] -> (1-2i - 7-8i) * (6-7i - 8-5i)
[443370] ['-6i', '(4-9i)', '(5+6i)', '(9-7i)'] -> -6i * (4-9i + 5+6i - 9-7i)
[443372] ['-6i', '(4-9i)', '(5+6i)', '(9+i)'] -> -6i * (9+i - (4-9i + 5+6i))
[443382] ['-6i', '(4-9i)', '(5+7i)', '(9-6i)'] -> -6i * (4-9i + 5+7i - 9-6i)
[443383] ['-6i', '(4-9i)', '(5+7i)', '(9+2i)'] -> -6i * (9+2i - (4-9i + 5+7i))
[443388] ['-6i', '(4-9i)', '(5+8i)', '(9-5i)'] -> -6i * (4-9i + 5+8i - 9-5i)
[443389] ['-6i', '(4-9i)', '(5+8i)', '(9+3i)'] -> -6i * (9+3i - (4-9i + 5+8i))
[443392] ['-6i', '(4-9i)', '(5+9i)', '(6+6i)'] -> 4-9i * 6+6i - -6i * 5+9i
[443397] ['-6i', '(4-9i)', '(5+9i)', '(9-4i)'] -> -6i * (4-9i + 5+9i - 9-4i)
[443399] ['-6i', '(4-9i)', '(5+9i)', '(9+4i)'] -> -6i * (9+4i - (4-9i + 5+9i))
[443411] ['-6i', '(4-9i)', '(6-7i)', '6'] -> (-6i + 6) * (6-7i - 4-9i)
[443416] ['-6i', '(4-9i)', '(6-7i)', '(8-8i)'] -> -6i * 8-8i / (4-9i - 6-7i)
[443421] ['-6i', '(4-9i)', '(6-6i)', '(6-i)'] -> 6-6i * (6-i + -6i - 4-9i)
[443425] ['-6i', '(4-9i)', '(6-6i)', '(8-3i)'] -> 8-8i * (1-7i / 2-4i - -2i)
[443431] ['-6i', '(4-9i)', '(6-5i)', '(6+6i)'] -> 6+6i * (6-5i + -6i - 4-9i)
[443477] ['-6i', '(4-9i)', '6', '(8-3i)'] -> 6 * (8-3i + -6i - 4-9i)
[443481] ['-6i', '(4-9i)', '6', '9'] -> 4-9i * 6 - -6i * 9
[443482] ['-6i', '(4-9i)', '6', '(9+8i)'] -> -6i * 9+8i - 4-9i * 6
[443503] ['-6i', '(4-9i)', '(6+3i)', '(9-6i)'] -> 6+3i * (4-9i - -6i) - 9-6i
[443521] ['-6i', '(4-9i)', '(6+6i)', '(8-9i)'] -> (-6i + 6+6i) * (8-9i - 4-9i)
[443543] ['-6i', '(4-9i)', '(7-9i)', '(8-2i)'] -> 8-2i * (7-9i - 4-9i) - -6i
[443544] ['-6i', '(4-9i)', '(7-9i)', '(8+6i)'] -> (-6i + 8+6i) * (7-9i - 4-9i)
[443592] ['-6i', '(4-9i)', '(7-3i)', '8'] -> 8 * (7-3i + -6i - 4-9i)
[443671] ['-6i', '(4-9i)', '(7+5i)', '(9-3i)'] -> (-8i + 2+2i) / (2-i / 6+6i)
[443789] ['-6i', '(4-8i)', '(4-8i)', '(6-7i)'] -> -6i * 4-8i / (4-8i - 6-7i)
[443812] ['-6i', '(4-8i)', '(4-7i)', '(6-6i)'] -> -6i * 4-8i / (4-7i - 6-6i)
[443823] ['-6i', '(4-8i)', '(4-6i)', '(6-5i)'] -> -6i * 4-8i / (4-6i - 6-5i)
[443825] ['-6i', '(4-8i)', '(4-6i)', '(7-2i)'] -> 7-2i * (4-6i - -6i) - 4-8i
[443829] ['-6i', '(4-8i)', '(4-6i)', '8'] -> -6i * 8 / (4-8i - 4-6i)
[443836] ['-6i', '(4-8i)', '(4-5i)', '(6-4i)'] -> -6i * 4-8i / (4-5i - 6-4i)
[443843] ['-6i', '(4-8i)', '(4-5i)', '(8-9i)'] -> -6i * (8-9i - (4-8i + 4-5i))
[443850] ['-6i', '(4-8i)', '(4-4i)', '(5-7i)'] -> -6i * 4-4i / (4-8i - 5-7i)
[443851] ['-6i', '(4-8i)', '(4-4i)', '(6-3i)'] -> -6i * 4-8i / (4-4i - 6-3i)
[443853] ['-6i', '(4-8i)', '(4-4i)', '(6+2i)'] -> 6+2i * (4-8i - -6i) - 4-4i
[443856] ['-6i', '(4-8i)', '(4-4i)', '(7+i)'] -> 4-4i * (7+i + -6i - 4-8i)
[443859] ['-6i', '(4-8i)', '(4-4i)', '(8-8i)'] -> -6i * (8-8i - (4-8i + 4-4i))
[443872] ['-6i', '(4-8i)', '(4-3i)', '(6-2i)'] -> 1-2i + 6-6i + 8 + 9+8i
[443874] ['-6i', '(4-8i)', '(4-3i)', '6'] -> -6i * (4-3i - 4-8i) - 6
[443878] ['-6i', '(4-8i)', '(4-3i)', '(8-7i)'] -> -2i - 1-7i + 3+i * 7-4i
[443890] ['-6i', '(4-8i)', '(4-2i)', '(6-i)'] -> -6i * 4-8i / (4-2i - 6-i)
[443894] ['-6i', '(4-8i)', '(4-2i)', '7'] -> 4-2i * 7 - (-6i + 4-8i)
[443898] ['-6i', '(4-8i)', '(4-2i)', '(8-6i)'] -> -6i * (8-6i - (4-8i + 4-2i))
