[426781] ['(1-2i)', '(4-i)', '(8-5i)', '(9-3i)'] -> (((8-5i) - (4-i)) / ((1-2i) / (9-3i)))
[426783] ['(1-2i)', '(4-i)', '(8-3i)', '8'] -> (8 * ((8-3i) - ((1-2i) + (4-i))))
[426788] ['(1-2i)', '(4-i)', '(8-3i)', '(9-2i)'] -> (((4-i) * (8-3i)) - ((1-2i) * (9-2i)))
[426791] ['(1-2i)', '(4-i)', '(8-2i)', '(8+i)'] -> (((4-i) * (8+i)) - ((1-2i) + (8-2i)))
[426805] ['(1-2i)', '(4-i)', '8', '(9+3i)'] -> ((8 * (9+3i)) / ((4-i) - (1-2i)))
[426810] ['(1-2i)', '(4-i)', '(8+2i)', '(8+9i)'] -> (((4-i) * ((8+2i) - (1-2i))) - (8+9i))
[426812] ['(1-2i)', '(4-i)', '(8+2i)', '(9+2i)'] -> (((4-i) * (8+2i)) - ((1-2i) + (9+2i)))
[426816] ['(1-2i)', '(4-i)', '(8+6i)', '(8+9i)'] -> (((1-2i) * (8+6i)) - ((4-i) - (8+9i)))
[426822] ['(1-2i)', '(4-i)', '(9-9i)', '(9-6i)'] -> (((9-6i) * ((4-i) - (1-2i))) - (9-9i))
[426824] ['(1-2i)', '(4-i)', '(9-9i)', '(9-3i)'] -> (-6i * (8 - ((3-7i) + (5+3i))))
[426828] ['(1-2i)', '(4-i)', '(9-4i)', '(9-i)'] -> (((4-i) * ((9-i) - (1-2i))) - (9-4i))
[426841] ['(1-2i)', '4', '4', '(4+2i)'] -> (4 + (4 * ((1-2i) + (4+2i))))
[426843] ['(1-2i)', '4', '4', '(4+8i)'] -> ((4+8i) + (4 * ((1-2i) + 4)))
[426844] ['(1-2i)', '4', '4', '(5+2i)'] -> (((1-2i) * 4) + (4 * (5+2i)))
[426845] ['(1-2i)', '4', '4', '(6+2i)'] -> ((4 * ((1-2i) + (6+2i))) - 4)
[426846] ['(1-2i)', '4', '4', '(6+3i)'] -> ((6+3i) * (4 - (4 / (1-2i))))
[426847] ['(1-2i)', '4', '4', '(6+6i)'] -> ((6+6i) * ((1-2i) + (4 / 4)))
[426848] ['(1-2i)', '4', '4', '(7-2i)'] -> ((4 * (7-2i)) - ((1-2i) * 4))
[426849] ['(1-2i)', '4', '4', '(7+2i)'] -> (((1-2i) + (7+2i)) + (4 * 4))
[426852] ['(1-2i)', '4', '4', '(8-2i)'] -> ((4 * ((8-2i) - (1-2i))) - 4)
[426856] ['(1-2i)', '4', '4', '(9-2i)'] -> ((4 * 4) - ((1-2i) - (9-2i)))
[426857] ['(1-2i)', '4', '4', '(9+2i)'] -> (4 * ((9+2i) + ((1-2i) - 4)))
