[292228] ['-3i', '(1-5i)', '(4-2i)', '(5+i)'] -> (-3i * ((5+i) - ((1-5i) + (4-2i))))
[292233] ['-3i', '(1-5i)', '(4-2i)', '8'] -> (8 * ((4-2i) + (-3i - (1-5i))))
[292241] ['-3i', '(1-5i)', '(4-i)', '(5-2i)'] -> (((4-i) + (5-2i)) - (-3i * (1-5i)))
[292242] ['-3i', '(1-5i)', '(4-i)', '(5+2i)'] -> (-3i * ((5+2i) - ((1-5i) + (4-i))))
[292244] ['-3i', '(1-5i)', '(4-i)', '(6+i)'] -> ((-3i - (1-5i)) + ((4-i) * (6+i)))
[292250] ['-3i', '(1-5i)', '(4-i)', '(9+3i)'] -> ((-3i * (1-5i)) + ((4-i) * (9+3i)))
[292251] ['-3i', '(1-5i)', '4', '(5-3i)'] -> (((2-i) - (8-i)) * ((3+4i) - (7+4i)))
[292252] ['-3i', '(1-5i)', '4', '(5+2i)'] -> (4 * ((5+2i) - (-3i - (1-5i))))
[292253] ['-3i', '(1-5i)', '4', '(5+3i)'] -> (-3i * ((5+3i) - ((1-5i) + 4)))
[292255] ['-3i', '(1-5i)', '4', '(5+8i)'] -> (4 * ((5+8i) + (-3i + (1-5i))))
[292257] ['-3i', '(1-5i)', '4', '(7-8i)'] -> (4 * ((7-8i) - (-3i + (1-5i))))
[292258] ['-3i', '(1-5i)', '4', '(7-2i)'] -> (4 * ((7-2i) + (-3i - (1-5i))))
[292264] ['-3i', '(1-5i)', '(4+i)', '(5-4i)'] -> (((4+i) + (5-4i)) - (-3i * (1-5i)))
[292265] ['-3i', '(1-5i)', '(4+i)', '(5+4i)'] -> (-3i * ((5+4i) - ((1-5i) + (4+i))))
[292275] ['-3i', '(1-5i)', '(4+2i)', '(5-5i)'] -> (((4+2i) + (5-5i)) - (-3i * (1-5i)))
[292276] ['-3i', '(1-5i)', '(4+2i)', '(5+5i)'] -> (-3i * ((5+5i) - ((1-5i) + (4+2i))))
[292281] ['-3i', '(1-5i)', '(4+3i)', '(5-6i)'] -> (((4+3i) + (5-6i)) - (-3i * (1-5i)))
[292283] ['-3i', '(1-5i)', '(4+3i)', '(5+5i)'] -> ((-3i + (4+3i)) * ((1-5i) + (5+5i)))
[292284] ['-3i', '(1-5i)', '(4+3i)', '(5+6i)'] -> (-3i * ((5+6i) - ((1-5i) + (4+3i))))
[292285] ['-3i', '(1-5i)', '(4+3i)', '(7-5i)'] -> ((-3i + (4+3i)) * ((7-5i) - (1-5i)))
