[334] ['1', '42', '43'] -> (43 / 42) - 1 mod 53
[335] ['1', '42', '45'] -> 42 * (1 + 45) mod 53
[336] ['1', '42', '47'] -> 42 * (47 - 1) mod 53
[337] ['1', '42', '48'] -> 48 - (1 / 42) mod 53
[338] ['1', '42', '49'] -> (1 / 49) - 42 mod 53
[339] ['1', '42', '50'] -> 42 + (1 / 50) mod 53
[340] ['1', '42', '51'] -> 51 * (42 - 1) mod 53
[341] ['1', '43', '49'] -> 49 / (1 + 43) mod 53
[342] ['1', '44', '47'] -> 44 / (47 - 1) mod 53
[343] ['1', '44', '51'] -> 1 / (44 + 51) mod 53
[344] ['1', '45', '46'] -> (45 - 1) / 46 mod 53
[345] ['1', '45', '48'] -> 45 - (1 / 48) mod 53
[346] ['1', '45', '51'] -> 45 * (51 - 1) mod 53
[347] ['1', '46', '50'] -> 50 * (46 - 1) mod 53
[348] ['1', '47', '50'] -> 47 * (50 - 1) mod 53
[349] ['1', '48', '48'] -> (48 * 48) - 1 mod 53
[350] ['1', '48', '49'] -> 49 * (48 - 1) mod 53
[351] ['1', '48', '50'] -> (1 / 48) - 50 mod 53
[352] ['1', '48', '52'] -> 48 / (1 - 52) mod 53
[353] ['1', '49', '51'] -> (1 - 49) / 51 mod 53
[354] ['1', '50', '51'] -> 50 - (1 / 51) mod 53
[355] ['1', '51', '51'] -> 51 + (1 / 51) mod 53
[356] ['2', '2', '7'] -> (2 - 7) / 2 mod 53
[357] ['2', '2', '10'] -> 2 * (2 + 10) mod 53
[358] ['2', '2', '11'] -> 2 + (2 * 11) mod 53
[359] ['2', '2', '13'] -> (2 * 13) - 2 mod 53
[360] ['2', '2', '14'] -> 2 * (14 - 2) mod 53
[361] ['2', '2', '23'] -> 23 + (2 / 2) mod 53
[362] ['2', '2', '25'] -> 25 - (2 / 2) mod 53
[363] ['2', '2', '30'] -> (2 / 2) - 30 mod 53
[364] ['2', '2', '44'] -> 2 + (44 / 2) mod 53
[365] ['2', '2', '46'] -> (2 + 46) / 2 mod 53
[366] ['2', '2', '49'] -> (2 / 49) - 2 mod 53
[367] ['2', '2', '50'] -> (50 - 2) / 2 mod 53
[368] ['2', '2', '52'] -> (52 / 2) - 2 mod 53
[369] ['2', '3', '6'] -> 3 * (2 + 6) mod 53
[370] ['2', '3', '7'] -> 7 - (2 / 3) mod 53
[371] ['2', '3', '8'] -> (3 - 8) / 2 mod 53
[372] ['2', '3', '9'] -> 2 * (3 + 9) mod 53
[373] ['2', '3', '12'] -> (2 / 3) - 12 mod 53
[374] ['2', '3', '13'] -> 2 + (13 / 3) mod 53
[375] ['2', '3', '14'] -> 14 / (2 + 3) mod 53
[376] ['2', '3', '15'] -> 2 * (15 - 3) mod 53
[377] ['2', '3', '21'] -> (21 - 2) / 3 mod 53
[378] ['2', '3', '22'] -> 3 / (22 - 2) mod 53
[379] ['2', '3', '26'] -> 26 * (2 + 3) mod 53
[380] ['2', '3', '37'] -> 3 + (2 * 37) mod 53
[381] ['2', '3', '41'] -> 41 + (2 / 3) mod 53
[382] ['2', '3', '43'] -> 3 + (2 / 43) mod 53
[383] ['2', '3', '45'] -> (3 + 45) / 2 mod 53
[384] ['2', '3', '49'] -> 49 + (3 / 2) mod 53
[385] ['2', '3', '52'] -> 52 - (3 / 2) mod 53
[386] ['2', '4', '4'] -> 4 * (2 + 4) mod 53
