[369] ['5', '11', '21'] -> (21 - 5) / 11 mod 31
[370] ['5', '11', '22'] -> 5 * (22 - 11) mod 31
[371] ['5', '11', '27'] -> 27 * (5 - 11) mod 31
[372] ['5', '11', '29'] -> 11 + (5 / 29) mod 31
[373] ['5', '12', '13'] -> 13 / (12 - 5) mod 31
[374] ['5', '12', '15'] -> (12 + 15) / 5 mod 31
[375] ['5', '12', '22'] -> 22 - (5 * 12) mod 31
[376] ['5', '12', '23'] -> 5 * (23 - 12) mod 31
[377] ['5', '13', '23'] -> 13 + (5 / 23) mod 31
[378] ['5', '14', '14'] -> (5 / 14) - 14 mod 31
[379] ['5', '14', '17'] -> 17 + (5 / 14) mod 31
[380] ['5', '14', '23'] -> 5 - (14 * 23) mod 31
[381] ['5', '14', '25'] -> 5 * (25 - 14) mod 31
[382] ['5', '14', '27'] -> 5 - (14 / 27) mod 31
[383] ['5', '15', '15'] -> 15 / (5 + 15) mod 31
[384] ['5', '15', '16'] -> 15 / (5 - 16) mod 31
[385] ['5', '15', '29'] -> 5 / (15 - 29) mod 31
[386] ['5', '16', '16'] -> 16 / (16 - 5) mod 31
[387] ['5', '16', '19'] -> 16 * (5 - 19) mod 31
[388] ['5', '17', '17'] -> 17 - (5 / 17) mod 31
[389] ['5', '17', '22'] -> 22 / (5 - 17) mod 31
[390] ['5', '17', '23'] -> 5 + (17 * 23) mod 31
[391] ['5', '17', '30'] -> (5 * 17) - 30 mod 31
[392] ['5', '18', '19'] -> 18 / (5 + 19) mod 31
[393] ['5', '18', '28'] -> 28 * (5 + 18) mod 31
[394] ['5', '19', '22'] -> 22 + (5 * 19) mod 31
[395] ['5', '19', '25'] -> 19 + (25 / 5) mod 31
[396] ['5', '20', '27'] -> 27 * (5 + 20) mod 31
[397] ['5', '20', '29'] -> (5 / 29) - 20 mod 31
[398] ['5', '21', '21'] -> 5 * (21 + 21) mod 31
[399] ['5', '21', '28'] -> (5 - 28) / 21 mod 31
[400] ['5', '22', '22'] -> 5 + (22 * 22) mod 31
[401] ['5', '22', '23'] -> 22 * (23 - 5) mod 31
[402] ['5', '22', '27'] -> (5 + 27) / 22 mod 31
[403] ['5', '22', '29'] -> (5 - 22) / 29 mod 31
[404] ['5', '22', '30'] -> (22 / 5) - 30 mod 31
[405] ['5', '23', '23'] -> 23 * (5 + 23) mod 31
[406] ['5', '23', '30'] -> (30 - 5) / 23 mod 31
[407] ['5', '25', '30'] -> 30 + (5 / 25) mod 31
[408] ['5', '26', '29'] -> 5 + (29 / 26) mod 31
[409] ['5', '27', '28'] -> 5 - (27 * 28) mod 31
[410] ['5', '28', '28'] -> 28 * (28 - 5) mod 31
[411] ['5', '29', '29'] -> (29 + 29) / 5 mod 31
[412] ['6', '6', '8'] -> (6 / 6) - 8 mod 31
[413] ['6', '6', '9'] -> 9 / (6 + 6) mod 31
[414] ['6', '6', '15'] -> 6 + (15 / 6) mod 31
[415] ['6', '6', '21'] -> 6 + (6 / 21) mod 31
[416] ['6', '6', '23'] -> 23 + (6 / 6) mod 31
[417] ['6', '6', '26'] -> (26 - 6) / 6 mod 31
[418] ['6', '6', '28'] -> 6 - (6 * 28) mod 31
[419] ['6', '7', '15'] -> 6 / (15 - 7) mod 31
[420] ['6', '7', '19'] -> (19 - 6) / 7 mod 31
[421] ['6', '7', '29'] -> 6 - (29 / 7) mod 31
[422] ['6', '8', '11'] -> 6 - (11 / 8) mod 31
[423] ['6', '8', '14'] -> 14 / (6 - 8) mod 31
[424] ['6', '8', '20'] -> 6 + (20 / 8) mod 31
[425] ['6', '8', '24'] -> (6 * 8) - 24 mod 31
[426] ['6', '9', '11'] -> (9 + 11) / 6 mod 31
[427] ['6', '9', '14'] -> 14 * (6 + 9) mod 31
[428] ['6', '9', '15'] -> 6 - (9 / 15) mod 31
[429] ['6', '9', '17'] -> 6 / (17 - 9) mod 31
[430] ['6', '9', '23'] -> 23 * (6 - 9) mod 31
[431] ['6', '9', '26'] -> 6 * (9 + 26) mod 31
[432] ['6', '10', '10'] -> (10 + 10) / 6 mod 31
[433] ['6', '10', '15'] -> 10 * (6 + 15) mod 31
[434] ['6', '10', '30'] -> (30 - 10) / 6 mod 31
[435] ['6', '11', '23'] -> 6 + (11 / 23) mod 31
[436] ['6', '12', '24'] -> (6 + 12) / 24 mod 31
[437] ['6', '12', '28'] -> (6 - 28) / 12 mod 31
