[293] ['1', '16', '32'] -> (1 - 32) / 16 mod 83
[294] ['1', '16', '36'] -> 1 + (36 / 16) mod 83
[295] ['1', '16', '42'] -> 16 * (1 + 42) mod 83
[296] ['1', '16', '47'] -> 1 - (47 / 16) mod 83
[297] ['1', '16', '50'] -> 50 - (1 / 16) mod 83
[298] ['1', '16', '51'] -> (1 + 51) / 16 mod 83
[299] ['1', '16', '53'] -> (53 - 1) / 16 mod 83
[300] ['1', '16', '54'] -> 1 / (16 - 54) mod 83
[301] ['1', '16', '57'] -> 16 / (57 - 1) mod 83
[302] ['1', '16', '60'] -> 60 * (1 + 16) mod 83
[303] ['1', '16', '61'] -> 1 / (61 - 16) mod 83
[304] ['1', '16', '66'] -> 1 - (16 * 66) mod 83
[305] ['1', '16', '69'] -> (16 * 69) - 1 mod 83
[306] ['1', '16', '72'] -> (1 - 16) / 72 mod 83
[307] ['1', '16', '77'] -> (16 / 77) - 1 mod 83
[308] ['1', '16', '81'] -> 81 + (1 / 16) mod 83
[309] ['1', '17', '17'] -> 17 / (1 + 17) mod 83
[310] ['1', '17', '19'] -> 17 / (19 - 1) mod 83
[311] ['1', '17', '20'] -> (1 / 17) - 20 mod 83
[312] ['1', '17', '21'] -> (17 * 21) - 1 mod 83
[313] ['1', '17', '26'] -> 1 + (17 / 26) mod 83
[314] ['1', '17', '27'] -> (1 - 17) / 27 mod 83
[315] ['1', '17', '28'] -> 1 / (17 + 28) mod 83
[316] ['1', '17', '29'] -> 29 * (1 + 17) mod 83
[317] ['1', '17', '31'] -> 31 / (1 - 17) mod 83
[318] ['1', '17', '52'] -> 52 / (17 - 1) mod 83
[319] ['1', '17', '55'] -> 1 / (17 - 55) mod 83
[320] ['1', '17', '56'] -> (17 - 1) / 56 mod 83
[321] ['1', '17', '57'] -> 1 - (17 / 57) mod 83
[322] ['1', '17', '61'] -> 17 * (61 - 1) mod 83
[323] ['1', '17', '62'] -> 1 / (62 - 17) mod 83
[324] ['1', '17', '66'] -> 17 / (1 - 66) mod 83
[325] ['1', '17', '67'] -> 1 - (17 * 67) mod 83
[326] ['1', '17', '68'] -> 68 - (1 / 17) mod 83
[327] ['1', '17', '81'] -> (1 / 81) - 17 mod 83
[328] ['1', '18', '18'] -> (18 - 1) / 18 mod 83
[329] ['1', '18', '21'] -> 18 / (1 - 21) mod 83
[330] ['1', '18', '23'] -> 23 * (1 - 18) mod 83
[331] ['1', '18', '25'] -> (1 + 18) / 25 mod 83
[332] ['1', '18', '27'] -> 1 / (18 + 27) mod 83
[333] ['1', '18', '28'] -> 18 * (1 + 28) mod 83
[334] ['1', '18', '30'] -> 18 * (30 - 1) mod 83
[335] ['1', '18', '31'] -> 1 - (18 * 31) mod 83
[336] ['1', '18', '35'] -> (35 / 18) - 1 mod 83
[337] ['1', '18', '36'] -> (1 / 18) - 36 mod 83
[338] ['1', '18', '47'] -> 47 + (1 / 18) mod 83
[339] ['1', '18', '52'] -> 1 + (18 * 52) mod 83
[340] ['1', '18', '55'] -> 18 * (1 - 55) mod 83
[341] ['1', '18', '56'] -> 1 / (18 - 56) mod 83
[342] ['1', '18', '60'] -> 60 * (18 - 1) mod 83
[343] ['1', '18', '62'] -> 18 / (1 + 62) mod 83
[344] ['1', '18', '64'] -> 18 / (64 - 1) mod 83
[345] ['1', '18', '65'] -> (1 - 18) / 65 mod 83
[346] ['1', '18', '67'] -> (1 - 67) / 18 mod 83
[347] ['1', '18', '69'] -> 18 - (1 / 69) mod 83
[348] ['1', '18', '75'] -> 1 - (18 / 75) mod 83
[349] ['1', '18', '82'] -> 1 + (82 / 18) mod 83
[350] ['1', '19', '20'] -> (1 - 19) / 20 mod 83
[351] ['1', '19', '22'] -> 1 + (22 / 19) mod 83
[352] ['1', '19', '29'] -> 29 * (19 - 1) mod 83
[353] ['1', '19', '33'] -> 19 - (1 / 33) mod 83
[354] ['1', '19', '40'] -> (1 + 40) / 19 mod 83
[355] ['1', '19', '45'] -> (19 * 45) - 1 mod 83
[356] ['1', '19', '50'] -> 19 + (1 / 50) mod 83
[357] ['1', '19', '51'] -> 51 * (1 + 19) mod 83
[358] ['1', '19', '54'] -> 54 * (1 - 19) mod 83
[359] ['1', '19', '56'] -> (1 / 56) - 19 mod 83
[360] ['1', '19', '57'] -> 1 / (19 - 57) mod 83
[361] ['1', '19', '58'] -> 1 + (19 * 58) mod 83
[362] ['1', '19', '60'] -> (60 / 19) - 1 mod 83
[363] ['1', '19', '61'] -> 1 - (61 / 19) mod 83
[364] ['1', '19', '63'] -> (19 - 1) / 63 mod 83
[365] ['1', '19', '64'] -> 1 / (64 - 19) mod 83
[366] ['1', '19', '65'] -> 65 / (1 + 19) mod 83
[367] ['1', '19', '66'] -> 66 / (1 - 19) mod 83
[368] ['1', '19', '70'] -> (1 + 19) / 70 mod 83
[369] ['1', '19', '72'] -> 72 + (1 / 19) mod 83
[370] ['1', '19', '73'] -> 1 + (19 / 73) mod 83
[371] ['1', '19', '74'] -> 19 * (1 - 74) mod 83
[372] ['1', '20', '21'] -> 20 + (1 / 21) mod 83
[373] ['1', '20', '22'] -> (20 * 22) - 1 mod 83
[374] ['1', '20', '28'] -> 1 - (20 / 28) mod 83
[375] ['1', '20', '30'] -> (1 / 20) - 30 mod 83
[376] ['1', '20', '32'] -> (1 + 20) / 32 mod 83
[377] ['1', '20', '33'] -> 20 * (1 - 33) mod 83
[378] ['1', '20', '34'] -> (20 / 34) - 1 mod 83
[379] ['1', '20', '38'] -> 1 - (38 / 20) mod 83
[380] ['1', '20', '41'] -> 41 / (20 - 1) mod 83
[381] ['1', '20', '42'] -> 42 / (1 - 20) mod 83
[382] ['1', '20', '50'] -> 20 * (1 + 50) mod 83
[383] ['1', '20', '52'] -> 20 * (52 - 1) mod 83
[384] ['1', '20', '53'] -> 53 + (1 / 20) mod 83
[385] ['1', '20', '55'] -> 1 + (20 / 55) mod 83
[386] ['1', '20', '62'] -> 20 - (1 / 62) mod 83
[387] ['1', '20', '64'] -> (1 + 64) / 20 mod 83
[388] ['1', '20', '66'] -> (66 - 1) / 20 mod 83
[389] ['1', '20', '69'] -> 20 / (1 + 69) mod 83
[390] ['1', '20', '71'] -> 20 / (71 - 1) mod 83
[391] ['1', '20', '73'] -> 73 * (1 - 20) mod 83
[392] ['1', '21', '27'] -> (27 / 21) - 1 mod 83
[393] ['1', '21', '30'] -> 30 / (1 + 21) mod 83
[394] ['1', '21', '31'] -> 21 / (1 + 31) mod 83
[395] ['1', '21', '33'] -> 21 / (33 - 1) mod 83
[396] ['1', '21', '37'] -> 1 + (21 / 37) mod 83
[397] ['1', '21', '51'] -> 51 * (21 - 1) mod 83
[398] ['1', '21', '52'] -> 21 / (1 - 52) mod 83
[399] ['1', '21', '55'] -> 21 - (1 / 55) mod 83
[400] ['1', '21', '59'] -> 1 / (21 - 59) mod 83
[401] ['1', '21', '63'] -> (1 / 21) - 63 mod 83
[402] ['1', '21', '65'] -> 65 / (21 - 1) mod 83
[403] ['1', '21', '66'] -> 1 / (66 - 21) mod 83
[404] ['1', '21', '68'] -> 1 + (68 / 21) mod 83
[405] ['1', '21', '69'] -> 69 * (1 + 21) mod 83
[406] ['1', '21', '70'] -> (21 - 1) / 70 mod 83
[407] ['1', '21', '71'] -> 21 * (1 - 71) mod 83
[408] ['1', '21', '74'] -> 1 - (21 * 74) mod 83
[409] ['1', '21', '77'] -> (1 + 21) / 77 mod 83
[410] ['1', '21', '78'] -> (1 - 78) / 21 mod 83
[411] ['1', '22', '23'] -> 1 / (22 + 23) mod 83
[412] ['1', '22', '29'] -> (1 + 29) / 22 mod 83
[413] ['1', '22', '31'] -> (31 - 1) / 22 mod 83
[414] ['1', '22', '32'] -> (22 - 1) / 32 mod 83
[415] ['1', '22', '35'] -> 1 + (22 * 35) mod 83
[416] ['1', '22', '39'] -> (1 + 22) / 39 mod 83
[417] ['1', '22', '41'] -> 22 - (1 / 41) mod 83
[418] ['1', '22', '42'] -> 22 + (1 / 42) mod 83
[419] ['1', '22', '48'] -> 1 - (22 * 48) mod 83
[420] ['1', '22', '51'] -> (1 - 22) / 51 mod 83
[421] ['1', '22', '52'] -> (52 / 22) - 1 mod 83
[422] ['1', '22', '58'] -> 58 - (1 / 22) mod 83
[423] ['1', '22', '60'] -> 1 / (22 - 60) mod 83
[424] ['1', '22', '64'] -> 1 - (22 / 64) mod 83
[425] ['1', '22', '66'] -> 66 * (1 + 22) mod 83
[426] ['1', '22', '67'] -> 1 / (67 - 22) mod 83
[427] ['1', '22', '68'] -> 22 * (1 + 68) mod 83
[428] ['1', '22', '73'] -> 73 + (1 / 22) mod 83
[429] ['1', '22', '74'] -> (1 / 74) - 22 mod 83
[430] ['1', '22', '75'] -> 1 - (75 / 22) mod 83
[431] ['1', '22', '76'] -> 22 / (1 + 76) mod 83
[432] ['1', '22', '78'] -> 22 / (78 - 1) mod 83
[433] ['1', '23', '31'] -> 1 + (31 / 23) mod 83
[434] ['1', '23', '38'] -> 23 / (1 + 38) mod 83
[435] ['1', '23', '40'] -> 23 / (40 - 1) mod 83
[436] ['1', '23', '41'] -> (1 / 23) - 41 mod 83
[437] ['1', '23', '42'] -> 42 + (1 / 23) mod 83
