[404] ['8', '16', '25'] -> 25 / (16 + 8) mod 29
[405] ['8', '17', '21'] -> (17 / 21) + 8 mod 29
[406] ['8', '17', '24'] -> (17 + 8) / 24 mod 29
[407] ['8', '17', '26'] -> (8 / 26) + 17 mod 29
[408] ['8', '18', '23'] -> 23 - (18 * 8) mod 29
[409] ['8', '18', '26'] -> (8 - 26) * 18 mod 29
[410] ['8', '19', '21'] -> (19 - 8) / 21 mod 29
[411] ['8', '19', '25'] -> (25 / 8) - 19 mod 29
[412] ['1', '10', '12'] -> (10 / 12) - 1 mod 29
[413] ['8', '20', '20'] -> (20 * 8) - 20 mod 29
[414] ['8', '20', '21'] -> (8 - 21) / 20 mod 29
[415] ['8', '21', '28'] -> (21 * 8) - 28 mod 29
[416] ['8', '22', '22'] -> (22 * 8) + 22 mod 29
[417] ['8', '22', '28'] -> (8 - 28) * 22 mod 29
[418] ['8', '23', '23'] -> (8 / 23) - 23 mod 29
[419] ['8', '23', '25'] -> (23 / 25) + 8 mod 29
[420] ['8', '25', '25'] -> (25 * 25) + 8 mod 29
[421] ['8', '25', '26'] -> (8 / 25) + 26 mod 29
[422] ['8', '26', '26'] -> 26 / (26 - 8) mod 29
[423] ['1', '10', '17'] -> (10 * 17) - 1 mod 29
[424] ['8', '26', '27'] -> (26 / 27) + 8 mod 29
[425] ['8', '27', '27'] -> (8 - 27) / 27 mod 29
[426] ['9', '9', '10'] -> 9 - (10 / 9) mod 29
[427] ['9', '9', '16'] -> (9 - 16) * 9 mod 29
[428] ['9', '9', '19'] -> (19 / 9) + 9 mod 29
[429] ['9', '9', '21'] -> (21 * 9) + 9 mod 29
[430] ['9', '9', '22'] -> (22 - 9) / 9 mod 29
[431] ['9', '9', '26'] -> 26 / (9 + 9) mod 29
[432] ['9', '9', '28'] -> (9 * 9) - 28 mod 29
[433] ['9', '10', '13'] -> 9 - (10 * 13) mod 29
[434] ['1', '10', '26'] -> 10 / (1 + 26) mod 29
[435] ['9', '10', '15'] -> (10 + 9) * 15 mod 29
[436] ['9', '10', '20'] -> (10 / 20) + 9 mod 29
[437] ['9', '10', '22'] -> 22 - (9 / 10) mod 29
