[1] ['1', '1', '8'] -> (1 / 8) + 1 mod 61
[253] ['34', '51', '52'] -> 51 / (34 + 52) mod 61
[254] ['34', '51', '53'] -> (51 / 34) + 53 mod 61
[255] ['34', '52', '53'] -> (34 * 53) + 52 mod 61
[256] ['34', '52', '54'] -> 34 - (52 / 54) mod 61
[257] ['34', '52', '56'] -> 56 / (34 - 52) mod 61
[258] ['34', '52', '57'] -> (34 - 57) * 52 mod 61
[259] ['2', '51', '54'] -> 51 - (54 / 2) mod 61
[260] ['34', '53', '54'] -> 53 / (54 - 34) mod 61
[261] ['34', '54', '54'] -> 54 - (34 / 54) mod 61
[262] ['34', '54', '55'] -> (34 / 54) + 55 mod 61
[263] ['34', '55', '56'] -> (34 - 56) / 55 mod 61
[264] ['34', '55', '59'] -> 59 - (34 / 55) mod 61
[265] ['34', '55', '60'] -> (60 / 55) + 34 mod 61
[266] ['34', '57', '59'] -> (34 / 57) - 59 mod 61
[267] ['34', '58', '58'] -> 58 - (58 / 34) mod 61
[268] ['34', '60', '60'] -> 60 / (34 + 60) mod 61
[269] ['35', '35', '38'] -> (35 / 35) - 38 mod 61
[270] ['2', '51', '55'] -> (51 / 55) + 2 mod 61
[271] ['35', '35', '39'] -> 35 / (39 - 35) mod 61
[272] ['35', '35', '45'] -> (35 * 45) + 35 mod 61
[273] ['35', '35', '47'] -> (35 * 47) - 35 mod 61
[274] ['35', '35', '49'] -> (35 - 49) / 35 mod 61
[275] ['35', '35', '50'] -> (35 - 50) * 35 mod 61
[276] ['35', '35', '52'] -> (52 / 35) - 35 mod 61
[277] ['35', '36', '39'] -> (35 + 36) * 39 mod 61
[278] ['35', '36', '40'] -> 35 / (40 - 36) mod 61
[279] ['35', '36', '43'] -> (36 / 43) - 35 mod 61
[280] ['35', '36', '44'] -> (36 * 44) - 35 mod 61
[281] ['2', '51', '56'] -> 2 / (51 - 56) mod 61
[282] ['35', '36', '51'] -> (36 - 51) * 35 mod 61
[283] ['35', '36', '53'] -> (35 / 53) + 36 mod 61
[284] ['35', '36', '56'] -> (56 - 35) * 36 mod 61
[285] ['35', '36', '57'] -> 57 / (35 + 36) mod 61
[286] ['35', '36', '58'] -> 36 / (35 + 58) mod 61
[287] ['35', '36', '59'] -> (36 * 59) + 35 mod 61
[288] ['35', '36', '60'] -> (35 / 36) - 60 mod 61
[289] ['35', '37', '38'] -> 38 - (35 * 37) mod 61
[290] ['35', '37', '49'] -> (35 - 37) * 49 mod 61
[291] ['35', '37', '58'] -> 35 - (37 * 58) mod 61
[292] ['2', '52', '53'] -> (2 / 53) - 52 mod 61
[293] ['35', '37', '59'] -> 37 - (35 / 59) mod 61
[294] ['35', '37', '60'] -> (35 + 60) / 37 mod 61
[295] ['35', '38', '38'] -> (35 - 38) / 38 mod 61
[296] ['35', '38', '50'] -> 50 / (35 - 38) mod 61
[297] ['35', '38', '60'] -> (35 / 38) + 60 mod 61
[298] ['35', '39', '48'] -> (35 / 48) - 39 mod 61
[299] ['35', '39', '51'] -> (39 - 35) / 51 mod 61
[300] ['35', '39', '54'] -> (39 - 54) * 35 mod 61
[301] ['35', '39', '55'] -> (35 - 39) * 55 mod 61
[302] ['35', '39', '60'] -> (35 * 39) - 60 mod 61
[303] ['2', '52', '55'] -> 52 / (55 - 2) mod 61
[304] ['35', '40', '41'] -> (40 / 41) - 35 mod 61
[305] ['35', '40', '43'] -> (35 - 40) / 43 mod 61
[306] ['35', '40', '46'] -> (35 / 40) + 46 mod 61
[307] ['35', '40', '47'] -> (40 * 47) + 35 mod 61
[308] ['35', '40', '49'] -> (40 / 35) + 49 mod 61
[309] ['35', '40', '57'] -> 40 / (57 - 35) mod 61
[310] ['35', '40', '59'] -> 59 / (40 - 35) mod 61
[311] ['35', '41', '41'] -> (35 / 41) + 41 mod 61
[312] ['35', '41', '53'] -> (35 * 41) + 53 mod 61
[313] ['35', '41', '54'] -> (35 + 41) / 54 mod 61
[314] ['2', '52', '58'] -> (52 - 2) / 58 mod 61
[315] ['35', '41', '57'] -> (35 - 41) * 57 mod 61
[316] ['35', '41', '58'] -> 41 - (35 * 58) mod 61
[317] ['35', '42', '47'] -> (42 - 35) * 47 mod 61
[318] ['35', '42', '52'] -> 42 / (52 - 35) mod 61
[319] ['35', '42', '54'] -> 35 - (42 * 54) mod 61
[320] ['35', '42', '56'] -> (42 - 56) / 35 mod 61
[321] ['35', '43', '44'] -> (35 * 43) + 44 mod 61
[322] ['35', '43', '47'] -> 35 / (47 - 43) mod 61
[323] ['35', '43', '49'] -> (35 + 43) / 49 mod 61
[324] ['35', '43', '51'] -> 43 / (35 - 51) mod 61
[325] ['2', '52', '59'] -> (52 / 2) + 59 mod 61
[326] ['35', '44', '44'] -> (35 / 44) + 44 mod 61
[327] ['35', '44', '45'] -> (35 + 45) / 44 mod 61
[328] ['35', '44', '47'] -> 44 / (47 - 35) mod 61
[329] ['35', '44', '48'] -> 35 / (48 - 44) mod 61
[330] ['35', '44', '49'] -> (35 * 49) - 44 mod 61
[331] ['35', '44', '52'] -> (35 * 44) - 52 mod 61
[332] ['35', '44', '53'] -> (35 - 44) / 53 mod 61
[333] ['35', '44', '58'] -> (44 - 58) / 35 mod 61
[334] ['35', '44', '59'] -> (44 - 59) * 35 mod 61
[335] ['35', '45', '49'] -> 35 / (49 - 45) mod 61
[336] ['1', '7', '48'] -> (48 - 1) * 7 mod 61
[337] ['2', '53', '60'] -> (60 - 2) * 53 mod 61
[338] ['35', '45', '53'] -> (35 - 53) / 45 mod 61
[339] ['35', '45', '55'] -> (35 + 55) * 45 mod 61
[340] ['35', '45', '59'] -> (45 - 59) / 35 mod 61
[341] ['35', '45', '60'] -> (45 - 60) * 35 mod 61
[342] ['35', '46', '54'] -> (46 / 35) - 54 mod 61
[343] ['35', '46', '55'] -> (35 / 46) - 55 mod 61
[344] ['35', '46', '58'] -> (35 - 46) / 58 mod 61
[345] ['35', '46', '60'] -> (46 - 60) / 35 mod 61
[346] ['35', '47', '48'] -> 48 - (47 / 35) mod 61
[347] ['35', '47', '51'] -> 35 / (51 - 47) mod 61
[348] ['2', '54', '55'] -> (54 + 55) / 2 mod 61
[349] ['35', '47', '56'] -> (35 + 56) / 47 mod 61
[350] ['35', '47', '57'] -> (35 / 47) + 57 mod 61
[351] ['35', '47', '59'] -> (35 - 47) * 59 mod 61
[352] ['35', '47', '60'] -> (47 + 60) * 35 mod 61
[353] ['35', '48', '51'] -> (35 + 48) * 51 mod 61
[354] ['35', '48', '55'] -> 55 - (48 / 35) mod 61
[355] ['35', '49', '55'] -> 35 - (49 * 55) mod 61
[356] ['35', '49', '56'] -> 49 / (35 + 56) mod 61
[357] ['35', '49', '59'] -> (49 + 59) / 35 mod 61
[358] ['35', '50', '57'] -> (50 + 57) * 35 mod 61
[359] ['2', '54', '57'] -> 54 - (2 / 57) mod 61
[360] ['35', '50', '58'] -> (50 + 58) / 35 mod 61
[361] ['35', '50', '59'] -> (35 / 59) - 50 mod 61
[362] ['35', '51', '58'] -> (35 / 51) + 58 mod 61
[363] ['35', '52', '53'] -> 35 - (52 * 53) mod 61
[364] ['35', '52', '58'] -> (35 - 58) * 52 mod 61
[365] ['35', '53', '54'] -> (53 + 54) * 35 mod 61
[366] ['35', '53', '56'] -> 56 / (35 - 53) mod 61
[367] ['35', '53', '57'] -> 35 / (57 - 53) mod 61
[368] ['35', '53', '60'] -> (35 * 53) + 60 mod 61
[369] ['35', '54', '54'] -> (54 + 54) / 35 mod 61
[370] ['2', '54', '58'] -> (54 / 2) + 58 mod 61
[371] ['35', '55', '58'] -> 58 - (35 * 55) mod 61
[372] ['35', '55', '59'] -> 35 / (59 - 55) mod 61
[373] ['35', '56', '59'] -> (56 / 35) + 59 mod 61
[374] ['35', '56', '60'] -> 35 / (60 - 56) mod 61
[375] ['35', '57', '57'] -> 57 - (57 / 35) mod 61
[376] ['35', '58', '58'] -> 58 / (35 - 58) mod 61
[377] ['36', '36', '38'] -> (36 / 36) - 38 mod 61
[378] ['36', '36', '39'] -> 39 - (36 * 36) mod 61
[379] ['36', '36', '52'] -> (36 * 36) - 52 mod 61
[380] ['36', '36', '56'] -> (56 / 36) + 36 mod 61
[381] ['2', '54', '59'] -> 2 / (54 - 59) mod 61
[382] ['36', '36', '58'] -> (36 / 58) + 36 mod 61
[383] ['36', '37', '41'] -> 37 - (41 / 36) mod 61
[384] ['36', '37', '42'] -> (36 * 42) + 37 mod 61
[385] ['36', '37', '47'] -> (47 - 37) / 36 mod 61
[386] ['36', '37', '53'] -> 53 - (36 / 37) mod 61
[387] ['36', '37', '58'] -> (58 - 37) * 36 mod 61
[388] ['36', '38', '44'] -> (38 + 44) * 36 mod 61
[389] ['36', '38', '52'] -> 38 / (36 + 52) mod 61
[390] ['36', '38', '56'] -> (38 - 36) / 56 mod 61
[391] ['36', '38', '58'] -> 38 - (36 * 58) mod 61
[392] ['2', '54', '60'] -> 54 - (60 / 2) mod 61
[393] ['36', '39', '39'] -> 39 - (36 / 39) mod 61
[394] ['36', '39', '41'] -> 36 - (41 / 39) mod 61
[395] ['36', '39', '42'] -> 39 / (36 - 42) mod 61
[396] ['36', '39', '43'] -> (39 + 43) * 36 mod 61
[397] ['36', '39', '50'] -> 50 / (36 - 39) mod 61
[398] ['36', '39', '53'] -> (36 - 39) * 53 mod 61
[399] ['36', '39', '56'] -> (39 * 56) + 36 mod 61
[400] ['36', '39', '57'] -> (57 - 36) / 39 mod 61
[401] ['36', '39', '60'] -> (60 - 39) * 36 mod 61
[402] ['36', '40', '42'] -> (40 + 42) * 36 mod 61
[403] ['2', '55', '55'] -> (2 + 55) * 55 mod 61
[404] ['36', '40', '43'] -> 36 - (40 * 43) mod 61
[405] ['36', '40', '51'] -> (40 - 36) / 51 mod 61
[406] ['36', '40', '54'] -> (36 + 40) / 54 mod 61
[407] ['36', '40', '56'] -> (36 * 56) - 40 mod 61
[408] ['36', '40', '58'] -> 40 / (58 - 36) mod 61
[409] ['36', '40', '59'] -> 59 - (40 / 36) mod 61
[410] ['36', '41', '41'] -> (41 + 41) * 36 mod 61
[411] ['36', '41', '43'] -> (36 - 41) / 43 mod 61
[412] ['36', '41', '49'] -> (36 * 41) - 49 mod 61
[413] ['36', '41', '50'] -> (41 / 36) - 50 mod 61
[414] ['2', '55', '58'] -> (55 - 2) * 58 mod 61
[415] ['36', '41', '51'] -> (51 - 41) / 36 mod 61
[416] ['36', '41', '52'] -> 36 / (41 + 52) mod 61
[417] ['36', '41', '57'] -> (57 / 41) + 36 mod 61
[418] ['36', '41', '58'] -> (41 * 58) - 36 mod 61
[419] ['36', '42', '42'] -> 42 / (36 + 42) mod 61
[420] ['36', '42', '46'] -> (42 - 36) / 46 mod 61
[421] ['36', '42', '49'] -> (36 + 42) / 49 mod 61
[422] ['36', '42', '56'] -> (36 / 56) - 42 mod 61
[423] ['36', '42', '59'] -> (36 / 59) + 42 mod 61
[424] ['36', '43', '46'] -> 46 / (43 - 36) mod 61
[425] ['2', '56', '57'] -> (56 / 2) + 57 mod 61
[426] ['36', '43', '50'] -> 36 / (43 + 50) mod 61
[427] ['36', '43', '51'] -> (36 * 51) - 43 mod 61
[428] ['36', '43', '53'] -> (53 - 43) / 36 mod 61
[429] ['36', '43', '54'] -> 54 - (43 / 36) mod 61
[430] ['36', '43', '60'] -> (36 * 43) - 60 mod 61
[431] ['36', '44', '44'] -> (36 + 44) / 44 mod 61
[432] ['36', '44', '52'] -> 52 / (36 - 44) mod 61
[433] ['36', '44', '54'] -> (54 - 44) / 36 mod 61
