[1] ['1', '1', '4'] -> 1 / (1 - 4) mod 73
[421] ['17', '21', '67'] -> (17 - 21) * 67 mod 73
[422] ['17', '22', '28'] -> 22 - (17 / 28) mod 73
[423] ['17', '22', '32'] -> (32 - 22) * 17 mod 73
[424] ['17', '22', '33'] -> 33 - (17 * 22) mod 73
[425] ['2', '17', '54'] -> (17 / 54) - 2 mod 73
[426] ['17', '22', '38'] -> (38 - 17) * 22 mod 73
[427] ['17', '22', '47'] -> 47 / (22 - 17) mod 73
[428] ['17', '22', '48'] -> 48 - (17 / 22) mod 73
[429] ['17', '22', '49'] -> 17 - (22 / 49) mod 73
[430] ['17', '22', '61'] -> (22 + 61) * 17 mod 73
[431] ['17', '22', '68'] -> (17 + 22) * 68 mod 73
[432] ['17', '22', '69'] -> (17 - 69) * 22 mod 73
[433] ['17', '23', '28'] -> 17 - (23 / 28) mod 73
