[1] ['1', '1', '2'] -> 1 / (1 + 2) mod 71
[401] ['18', '26', '66'] -> 66 - (18 * 26) mod 71
[402] ['18', '26', '67'] -> (18 / 26) + 67 mod 71
[403] ['2', '23', '23'] -> (23 / 2) - 23 mod 71
[404] ['18', '26', '70'] -> (26 + 70) * 18 mod 71
[405] ['18', '27', '28'] -> 27 / (28 - 18) mod 71
[406] ['18', '27', '31'] -> 18 - (27 / 31) mod 71
[407] ['18', '27', '35'] -> (18 * 27) + 35 mod 71
[408] ['18', '27', '41'] -> (27 * 41) - 18 mod 71
[409] ['18', '27', '46'] -> (18 + 46) * 27 mod 71
[410] ['18', '27', '47'] -> (18 / 27) + 47 mod 71
[411] ['18', '27', '51'] -> 18 - (51 / 27) mod 71
[412] ['18', '27', '52'] -> (52 - 27) * 18 mod 71
[413] ['18', '27', '54'] -> 27 - (54 / 18) mod 71
[414] ['2', '23', '25'] -> (23 + 25) / 2 mod 71
[415] ['18', '27', '55'] -> 18 - (27 * 55) mod 71
[416] ['18', '27', '58'] -> (27 / 18) + 58 mod 71
[417] ['18', '27', '59'] -> (18 * 59) + 27 mod 71
[418] ['18', '27', '61'] -> 61 - (27 / 18) mod 71
[419] ['18', '27', '64'] -> (18 + 27) / 64 mod 71
[420] ['18', '27', '65'] -> (18 / 65) + 27 mod 71
[421] ['18', '27', '66'] -> (66 / 18) - 27 mod 71
[422] ['18', '27', '68'] -> 68 / (18 - 27) mod 71
[423] ['18', '28', '29'] -> (29 - 18) * 28 mod 71
[424] ['18', '28', '30'] -> (28 - 18) / 30 mod 71
[425] ['2', '23', '27'] -> (2 / 23) + 27 mod 71
[426] ['18', '28', '39'] -> 39 / (18 + 28) mod 71
[427] ['18', '28', '41'] -> (18 - 28) / 41 mod 71
[428] ['18', '28', '48'] -> (28 / 48) - 18 mod 71
[429] ['18', '28', '50'] -> 50 - (18 / 28) mod 71
[430] ['18', '28', '51'] -> (51 - 18) / 28 mod 71
[431] ['18', '28', '55'] -> (18 * 55) + 28 mod 71
[432] ['18', '28', '64'] -> (18 + 64) * 28 mod 71
[433] ['18', '28', '65'] -> 65 - (28 / 18) mod 71
