[260] ['13', '13', '44', '58'] -> (44 - (13 / 13)) / 58 mod 71
[261] ['13', '13', '58', '70'] -> (70 - (13 * 13)) / 58 mod 71
[262] ['13', '17', '17', '17'] -> (17 + 17 + 17) * 13 mod 71
[263] ['13', '18', '18', '18'] -> ((18 + 18) * 13) - 18 mod 71
[264] ['13', '53', '53', '53'] -> 53 - ((53 + 53) * 13) mod 71
[265] ['13', '54', '54', '54'] -> ((54 * 54) + 13) / 54 mod 71
[266] ['13', '55', '55', '55'] -> (55 / 55) - (13 / 55) mod 71
[267] ['13', '56', '56', '56'] -> (56 / 56) - (56 / 13) mod 71
[268] ['1', '1', '9', '67'] -> (1 + 67) * (1 - 9) mod 71
[269] ['14', '14', '14', '14'] -> 14 / (14 + 14 + 14) mod 71
[270] ['14', '14', '14', '26'] -> 26 - ((14 + 14) / 14) mod 71
[271] ['14', '14', '14', '45'] -> ((14 / 14) + 14) / 45 mod 71
[272] ['14', '14', '17', '59'] -> (14 / (14 + 59)) + 17 mod 71
[273] ['14', '35', '35', '35'] -> 35 - ((14 + 35) * 35) mod 71
[274] ['14', '35', '70', '70'] -> (70 / (14 + 70)) + 35 mod 71
[275] ['14', '36', '36', '36'] -> ((14 - 36) * 36) - 36 mod 71
[276] ['14', '48', '48', '48'] -> ((14 - 48) * 48) - 48 mod 71
[277] ['14', '58', '58', '58'] -> (58 / (58 - 14)) - 58 mod 71
[278] ['14', '65', '65', '65'] -> 14 / ((65 * 65) - 65) mod 71
[279] ['1', '1', '10', '62'] -> (62 / (1 + 10)) - 1 mod 71
[280] ['14', '68', '68', '68'] -> (68 * 68) + (68 / 14) mod 71
[281] ['14', '69', '70', '70'] -> 69 / (70 - (70 / 14)) mod 71
[282] ['15', '15', '15', '23'] -> ((15 * 23) + 15) / 15 mod 71
[283] ['15', '15', '15', '53'] -> ((15 * 15) - 53) * 15 mod 71
[284] ['15', '15', '15', '55'] -> ((15 - 55) * 15) - 15 mod 71
[285] ['15', '15', '17', '17'] -> ((15 - 17) * 15) - 17 mod 71
[286] ['15', '15', '18', '62'] -> (62 - (15 * 18)) / 15 mod 71
[287] ['15', '17', '17', '17'] -> ((17 + 17) / 15) + 17 mod 71
[288] ['15', '58', '58', '58'] -> (58 / 58) - (15 / 58) mod 71
[289] ['16', '16', '16', '17'] -> ((17 - 16) / 16) - 16 mod 71
[290] ['1', '1', '12', '25'] -> 1 - (1 / (12 + 25)) mod 71
[291] ['16', '16', '16', '21'] -> (16 * 16) + (16 * 21) mod 71
[292] ['16', '16', '16', '33'] -> (16 + 16) * (16 - 33) mod 71
[293] ['16', '16', '16', '46'] -> (16 * 16 * 16) + 46 mod 71
[294] ['16', '16', '16', '50'] -> (16 * 16) - (16 * 50) mod 71
[295] ['16', '16', '16', '70'] -> (16 + 16) * (70 - 16) mod 71
[296] ['16', '16', '33', '42'] -> 16 - (33 / (16 + 42)) mod 71
[297] ['16', '16', '50', '55'] -> (16 * 16) + (50 * 55) mod 71
[298] ['16', '21', '55', '55'] -> (16 * 21) + (55 * 55) mod 71
[299] ['16', '33', '40', '40'] -> (16 / (40 + 40)) - 33 mod 71
[300] ['16', '46', '46', '46'] -> (16 + 46) * (46 + 46) mod 71
[301] ['1', '1', '12', '55'] -> 1 - ((1 + 12) / 55) mod 71
[302] ['16', '51', '51', '51'] -> ((51 / 51) + 16) / 51 mod 71
[303] ['16', '54', '54', '54'] -> ((16 - 54) * 54) - 54 mod 71
[304] ['16', '61', '61', '61'] -> (16 * 61) - (61 * 61) mod 71
[305] ['16', '65', '65', '65'] -> (65 - (65 * 65)) / 16 mod 71
[306] ['16', '66', '66', '66'] -> 66 / ((66 / 66) - 16) mod 71
[307] ['17', '17', '17', '17'] -> 17 / (17 + 17 + 17) mod 71
[308] ['17', '17', '17', '58'] -> (58 - (17 * 17)) / 17 mod 71
[309] ['17', '17', '32', '32'] -> 17 / (32 - (32 / 17)) mod 71
[310] ['17', '17', '36', '36'] -> 36 / ((17 / 17) + 36) mod 71
[311] ['17', '17', '39', '39'] -> 17 / ((39 / 17) - 39) mod 71
[312] ['1', '1', '13', '23'] -> (1 + 13) * (23 - 1) mod 71
[313] ['17', '17', '56', '56'] -> ((17 + 56) * 56) - 17 mod 71
[314] ['17', '21', '21', '21'] -> 17 / ((21 / 21) - 21) mod 71
[315] ['17', '32', '32', '56'] -> ((17 + 32) / 56) + 32 mod 71
[316] ['17', '50', '50', '50'] -> 17 / ((50 / 50) + 50) mod 71
[317] ['18', '18', '18', '35'] -> 18 / (18 - (18 / 35)) mod 71
[318] ['18', '18', '18', '36'] -> 18 / ((18 / 36) + 18) mod 71
[319] ['18', '18', '18', '39'] -> (18 - (18 / 18)) * 39 mod 71
[320] ['18', '18', '18', '62'] -> 18 / (18 - (62 / 18)) mod 71
[321] ['18', '18', '18', '63'] -> ((18 - 63) * 18) - 18 mod 71
[322] ['18', '18', '67', '69'] -> 18 / ((69 / 67) + 18) mod 71
[323] ['1', '1', '14', '68'] -> (1 / (68 - 14)) - 1 mod 71
[324] ['18', '24', '30', '54'] -> ((18 * 54) + 30) / 24 mod 71
[325] ['18', '26', '26', '60'] -> ((26 + 26) * 18) - 60 mod 71
[326] ['18', '45', '45', '60'] -> 45 / (18 - (60 / 45)) mod 71
[327] ['19', '19', '19', '26'] -> 26 - ((19 + 19) / 19) mod 71
[328] ['19', '19', '19', '46'] -> ((19 / 19) - 19) * 46 mod 71
[329] ['19', '19', '61', '61'] -> ((61 / 19) - 19) / 61 mod 71
[330] ['19', '19', '66', '66'] -> (66 * 66) - (19 / 19) mod 71
[331] ['19', '31', '31', '70'] -> 31 / ((19 * 31) - 70) mod 71
[332] ['19', '45', '45', '69'] -> ((69 / 19) + 45) / 45 mod 71
[333] ['19', '48', '48', '48'] -> ((19 / 48) - 48) / 48 mod 71
[334] ['1', '1', '1', '9'] -> (1 + 1 + 1) / 9 mod 71
[335] ['1', '1', '15', '36'] -> (1 + 15) * (1 + 36) mod 71
[336] ['19', '52', '61', '61'] -> ((61 / 19) + 52) / 61 mod 71
[337] ['19', '59', '59', '59'] -> 19 / (59 - (59 * 59)) mod 71
[338] ['19', '59', '66', '66'] -> ((59 + 66) / 19) + 66 mod 71
[339] ['19', '61', '61', '61'] -> (19 * 61) + (61 / 61) mod 71
[340] ['20', '20', '20', '20'] -> 20 / (20 + 20 + 20) mod 71
[341] ['20', '20', '20', '31'] -> (31 / 20) - (20 * 20) mod 71
[342] ['20', '20', '20', '46'] -> 20 - (20 / (20 + 46)) mod 71
[343] ['20', '20', '20', '50'] -> ((50 / 20) + 20) * 20 mod 71
[344] ['20', '20', '20', '55'] -> (55 - (20 / 20)) / 20 mod 71
[345] ['20', '20', '20', '64'] -> ((20 + 20) * 64) + 20 mod 71
[346] ['1', '1', '15', '69'] -> (1 / (69 - 15)) - 1 mod 71
[347] ['20', '20', '23', '23'] -> 20 / (23 - (20 * 23)) mod 71
[348] ['20', '20', '27', '27'] -> (27 / 20) + (27 / 20) mod 71
[349] ['20', '20', '27', '44'] -> (27 / 20) - (44 / 20) mod 71
[350] ['20', '20', '31', '51'] -> (20 * 51) + (31 / 20) mod 71
[351] ['20', '20', '36', '55'] -> (36 / (20 + 20)) - 55 mod 71
[352] ['20', '24', '25', '47'] -> (25 - (20 * 47)) / 24 mod 71
