[240] ['8', '20', '74', '74'] -> ((74 * 8) + 20) / 74 mod 97
[241] ['8', '21', '32', '73'] -> ((21 * 8) + 32) / 73 mod 97
[242] ['8', '22', '22', '89'] -> ((22 - 89) * 8) - 22 mod 97
[243] ['8', '22', '56', '89'] -> ((22 / 56) - 89) / 8 mod 97
[244] ['8', '23', '24', '68'] -> ((8 - 68) / 23) - 24 mod 97
[245] ['8', '23', '48', '48'] -> ((23 / 48) - 48) * 8 mod 97
[246] ['8', '24', '42', '65'] -> (8 - (42 * 65)) / 24 mod 97
[247] ['1', '1', '23', '80'] -> 1 / ((23 * 80) - 1) mod 97
[248] ['8', '29', '94', '94'] -> ((94 * 94) + 8) / 29 mod 97
[249] ['8', '30', '30', '30'] -> (30 - (30 * 30)) * 8 mod 97
[250] ['8', '32', '32', '72'] -> ((32 + 72) * 8) - 32 mod 97
[251] ['8', '32', '32', '74'] -> ((32 * 8) - 32) / 74 mod 97
[252] ['8', '32', '37', '73'] -> ((8 / 37) + 32) / 73 mod 97
[253] ['8', '34', '34', '34'] -> 8 - ((34 + 34) * 34) mod 97
[254] ['8', '34', '34', '79'] -> (34 - (34 * 8)) / 79 mod 97
[255] ['8', '34', '34', '96'] -> (96 - (34 / 34)) / 8 mod 97
[256] ['8', '34', '63', '79'] -> ((63 * 8) + 34) / 79 mod 97
[257] ['8', '35', '78', '78'] -> ((78 / 78) + 8) * 35 mod 97
[258] ['1', '1', '23', '81'] -> 23 / ((1 / 81) - 1) mod 97
[259] ['8', '37', '37', '68'] -> 68 / ((37 * 37) + 8) mod 97
[260] ['8', '38', '93', '93'] -> ((8 / 38) - 93) * 93 mod 97
[261] ['8', '40', '65', '65'] -> 65 / ((40 / 65) + 8) mod 97
[262] ['8', '41', '41', '41'] -> (41 - (8 / 41)) * 41 mod 97
[263] ['8', '41', '96', '96'] -> (41 + 8) / (96 + 96) mod 97
[264] ['8', '42', '42', '42'] -> 42 / ((42 * 42) + 8) mod 97
[265] ['8', '45', '45', '45'] -> (8 - (45 / 45)) * 45 mod 97
[266] ['8', '48', '48', '74'] -> ((74 / 48) - 48) / 8 mod 97
[267] ['8', '50', '50', '50'] -> ((50 + 8) / 50) + 50 mod 97
[268] ['8', '52', '52', '52'] -> ((52 / 52) - 8) * 52 mod 97
[269] ['1', '1', '23', '87'] -> (1 - 23) / (1 + 87) mod 97
[270] ['8', '52', '66', '66'] -> ((66 / 66) - 8) * 52 mod 97
[271] ['8', '54', '54', '54'] -> 8 / (54 + 54 + 54) mod 97
[272] ['8', '54', '54', '69'] -> (8 - (54 / 54)) / 69 mod 97
[273] ['8', '54', '60', '60'] -> 8 / ((60 * 60) + 54) mod 97
[274] ['8', '55', '96', '96'] -> 96 - (8 / (55 + 96)) mod 97
[275] ['8', '56', '56', '56'] -> (56 - (8 / 56)) * 56 mod 97
[276] ['8', '56', '56', '89'] -> (56 + 89) * (8 - 56) mod 97
[277] ['8', '56', '58', '58'] -> ((56 + 58) * 58) + 8 mod 97
[278] ['8', '58', '96', '96'] -> 96 - (96 / (58 + 8)) mod 97
[279] ['8', '63', '63', '63'] -> 8 - ((63 + 63) * 63) mod 97
[280] ['1', '1', '25', '25'] -> (1 - (1 / 25)) * 25 mod 97
[281] ['8', '63', '63', '79'] -> ((63 * 8) - 63) / 79 mod 97
[282] ['8', '63', '63', '96'] -> (96 - (63 / 63)) / 8 mod 97
[283] ['8', '64', '64', '90'] -> ((8 / 64) + 64) * 90 mod 97
[284] ['8', '65', '65', '78'] -> 65 / (65 - (78 / 8)) mod 97
[285] ['8', '67', '67', '67'] -> (67 * 8) - (67 * 67) mod 97
[286] ['8', '68', '68', '68'] -> (68 - (68 * 68)) * 8 mod 97
[287] ['8', '69', '69', '77'] -> 69 - ((77 + 8) * 69) mod 97
[288] ['8', '70', '95', '95'] -> ((8 + 95) / 95) - 70 mod 97
[289] ['8', '76', '84', '84'] -> ((8 - 76) * 84) - 84 mod 97
[290] ['8', '76', '95', '95'] -> ((76 + 8) * 95) + 95 mod 97
[291] ['1', '1', '25', '38'] -> ((1 / 25) + 1) * 38 mod 97
[292] ['8', '77', '96', '96'] -> (77 + 8) * (96 + 96) mod 97
[293] ['8', '78', '93', '93'] -> 93 / ((8 / 78) + 93) mod 97
[294] ['8', '80', '80', '90'] -> (8 / 80) - (80 / 90) mod 97
[295] ['8', '86', '86', '86'] -> 86 - ((8 + 86) / 86) mod 97
[296] ['8', '92', '94', '94'] -> 94 / ((94 / 92) - 8) mod 97
[297] ['9', '9', '9', '11'] -> (9 / (11 + 9)) + 9 mod 97
[298] ['9', '9', '9', '39'] -> 9 / (9 - (9 / 39)) mod 97
[299] ['9', '9', '9', '52'] -> ((9 * 9) + 9) * 52 mod 97
[300] ['9', '9', '9', '58'] -> 9 / ((9 / 58) + 9) mod 97
