[398] ['2', '47', '59'] -> 2 * (59 - 47) base 13
[399] ['2', '47', '6A'] -> (2 * 47) - 6A base 13
[400] ['2', '47', '92'] -> (92 - 47) / 2 base 13
[401] ['2', '47', 'B5'] -> B5 - (2 * 47) base 13
[402] ['2', '48', '48'] -> 48 - (48 / 2) base 13
[403] ['2', '48', '5A'] -> 2 * (5A - 48) base 13
[404] ['2', '48', '6C'] -> (2 * 48) - 6C base 13
[405] ['2', '48', '93'] -> (93 - 48) / 2 base 13
[406] ['2', '48', 'B7'] -> B7 - (2 * 48) base 13
[407] ['2', '49', '4A'] -> 49 - (4A / 2) base 13
[408] ['2', '49', '5B'] -> 2 * (5B - 49) base 13
[409] ['2', '49', '71'] -> (2 * 49) - 71 base 13
[410] ['2', '49', '94'] -> (94 - 49) / 2 base 13
[411] ['2', '49', 'B9'] -> B9 - (2 * 49) base 13
[412] ['2', '4A', '4C'] -> 4A - (4C / 2) base 13
[413] ['2', '4A', '5C'] -> 2 * (5C - 4A) base 13
[414] ['2', '4A', '95'] -> (95 - 4A) / 2 base 13
[415] ['2', '4A', 'BB'] -> BB - (2 * 4A) base 13
[416] ['2', '4B', '51'] -> 4B - (51 / 2) base 13
[417] ['2', '4B', '60'] -> 2 * (60 - 4B) base 13
[418] ['2', '4B', '75'] -> (2 * 4B) - 75 base 13
[419] ['2', '4B', '96'] -> (96 - 4B) / 2 base 13
[420] ['2', '4B', 'C0'] -> C0 - (2 * 4B) base 13
[421] ['2', '4C', '53'] -> 4C - (53 / 2) base 13
[422] ['2', '4C', '61'] -> 2 * (61 - 4C) base 13
[423] ['2', '4C', '77'] -> (2 * 4C) - 77 base 13
[424] ['2', '4C', '97'] -> (97 - 4C) / 2 base 13
[425] ['2', '4C', 'C2'] -> C2 - (2 * 4C) base 13
[426] ['2', '50', '55'] -> 50 - (55 / 2) base 13
[427] ['2', '50', '62'] -> 2 * (62 - 50) base 13
[428] ['2', '50', '79'] -> (2 * 50) - 79 base 13
[429] ['2', '50', '98'] -> (98 - 50) / 2 base 13
[430] ['2', '50', 'C4'] -> C4 - (2 * 50) base 13
[431] ['2', '51', '57'] -> 51 - (57 / 2) base 13
[432] ['2', '51', '63'] -> 2 * (63 - 51) base 13
[433] ['2', '51', '7B'] -> (2 * 51) - 7B base 13
[434] ['2', '51', '99'] -> (99 - 51) / 2 base 13
[435] ['2', '51', 'C6'] -> C6 - (2 * 51) base 13
