[340] ['3', '7', '30'] -> 3 / (7 - 30) mod 37
[341] ['3', '8', '14'] -> (8 / 14) - 3 mod 37
[342] ['3', '8', '15'] -> 8 / (3 - 15) mod 37
[343] ['3', '8', '17'] -> 3 - (17 / 8) mod 37
[344] ['3', '8', '20'] -> 3 + (20 / 8) mod 37
[345] ['3', '8', '23'] -> (3 * 23) - 8 mod 37
[346] ['3', '8', '30'] -> 8 + (3 * 30) mod 37
[347] ['3', '9', '9'] -> (3 - 9) / 9 mod 37
[348] ['3', '9', '10'] -> 3 - (9 * 10) mod 37
[349] ['3', '9', '16'] -> (9 / 3) - 16 mod 37
[350] ['3', '9', '17'] -> 3 * (17 - 9) mod 37
[351] ['3', '9', '22'] -> 9 - (3 / 22) mod 37
[352] ['3', '9', '23'] -> 3 / (23 - 9) mod 37
[353] ['3', '10', '13'] -> 10 - (3 / 13) mod 37
[354] ['3', '10', '14'] -> 14 * (10 - 3) mod 37
[355] ['3', '10', '16'] -> 16 / (3 + 10) mod 37
[356] ['3', '10', '19'] -> 10 / (3 + 19) mod 37
[357] ['3', '10', '21'] -> (21 - 3) / 10 mod 37
[358] ['3', '11', '19'] -> 3 * (19 - 11) mod 37
[359] ['3', '11', '22'] -> 11 * (22 - 3) mod 37
[360] ['3', '11', '23'] -> 11 + (3 / 23) mod 37
[361] ['3', '11', '26'] -> (11 * 26) - 3 mod 37
[362] ['3', '11', '30'] -> 30 / (3 - 11) mod 37
[363] ['3', '11', '36'] -> 11 / (3 + 36) mod 37
[364] ['3', '12', '12'] -> (3 * 12) - 12 mod 37
[365] ['3', '12', '14'] -> (12 - 14) / 3 mod 37
[366] ['3', '12', '16'] -> 12 / (3 + 16) mod 37
[367] ['3', '12', '17'] -> (12 / 3) - 17 mod 37
[368] ['3', '12', '25'] -> 25 + (3 * 12) mod 37
[369] ['3', '12', '35'] -> 3 / (12 - 35) mod 37
[370] ['3', '13', '17'] -> 3 - (13 / 17) mod 37
[371] ['3', '13', '26'] -> 26 - (3 * 13) mod 37
[372] ['3', '13', '27'] -> 3 / (27 - 13) mod 37
[373] ['3', '14', '16'] -> (14 - 16) / 3 mod 37
[374] ['3', '14', '17'] -> 3 - (14 * 17) mod 37
[375] ['3', '14', '20'] -> 3 + (14 * 20) mod 37
[376] ['3', '14', '22'] -> 3 * (22 - 14) mod 37
[377] ['3', '14', '25'] -> (3 * 25) - 14 mod 37
[378] ['3', '14', '29'] -> 29 - (3 * 14) mod 37
[379] ['3', '14', '32'] -> 32 / (3 - 14) mod 37
[380] ['3', '15', '16'] -> 16 + (3 * 15) mod 37
[381] ['3', '15', '21'] -> (3 * 15) - 21 mod 37
[382] ['3', '15', '23'] -> 3 * (23 - 15) mod 37
[383] ['3', '15', '26'] -> 26 * (3 + 15) mod 37
[384] ['3', '15', '28'] -> (3 / 15) - 28 mod 37
[385] ['3', '15', '32'] -> 32 - (3 * 15) mod 37
[386] ['3', '15', '34'] -> 15 - (3 * 34) mod 37
[387] ['3', '16', '16'] -> 16 / (16 - 3) mod 37
[388] ['3', '16', '18'] -> (16 - 18) / 3 mod 37
[389] ['3', '16', '20'] -> 16 * (3 - 20) mod 37
[390] ['3', '16', '21'] -> 21 / (3 - 16) mod 37
[391] ['3', '16', '22'] -> 16 - (3 * 22) mod 37
[392] ['3', '16', '25'] -> (25 / 16) - 3 mod 37
[393] ['3', '16', '28'] -> (16 / 28) - 3 mod 37
[394] ['3', '16', '30'] -> 3 / (30 - 16) mod 37
[395] ['3', '16', '31'] -> 31 + (16 / 3) mod 37
[396] ['3', '17', '22'] -> 22 - (3 / 17) mod 37
[397] ['3', '17', '23'] -> 3 + (17 * 23) mod 37
[398] ['3', '17', '28'] -> 3 * (17 + 28) mod 37
[399] ['3', '17', '29'] -> 3 + (17 / 29) mod 37
[400] ['3', '17', '30'] -> 30 * (3 - 17) mod 37
[401] ['3', '17', '35'] -> (3 + 35) / 17 mod 37
[402] ['3', '18', '24'] -> (3 + 18) / 24 mod 37
[403] ['3', '18', '26'] -> 3 * (26 - 18) mod 37
[404] ['3', '19', '19'] -> (3 / 19) - 19 mod 37
[405] ['3', '19', '20'] -> 20 * (19 - 3) mod 37
[406] ['3', '19', '21'] -> (19 - 21) / 3 mod 37
[407] ['3', '19', '26'] -> 3 * (19 + 26) mod 37
[408] ['3', '19', '27'] -> 3 * (27 - 19) mod 37
[409] ['3', '20', '23'] -> 3 - (20 * 23) mod 37
[410] ['3', '20', '28'] -> 3 * (28 - 20) mod 37
[411] ['3', '20', '29'] -> 3 - (20 / 29) mod 37
[412] ['3', '20', '31'] -> 3 / (20 + 31) mod 37
[413] ['3', '20', '32'] -> (20 / 3) - 32 mod 37
[414] ['3', '20', '35'] -> (20 / 35) - 3 mod 37
[415] ['3', '21', '21'] -> 21 / (3 + 21) mod 37
[416] ['3', '21', '25'] -> 25 / (21 - 3) mod 37
[417] ['3', '21', '28'] -> 21 - (28 / 3) mod 37
[418] ['3', '21', '30'] -> 3 / (21 + 30) mod 37
[419] ['3', '21', '33'] -> (21 * 33) - 3 mod 37
[420] ['3', '21', '34'] -> 3 + (34 / 21) mod 37
[421] ['3', '22', '23'] -> 3 * (22 + 23) mod 37
[422] ['3', '23', '27'] -> 23 * (3 + 27) mod 37
[423] ['3', '23', '32'] -> 32 / (3 + 23) mod 37
[424] ['3', '24', '33'] -> (33 / 3) - 24 mod 37
[425] ['3', '25', '25'] -> 25 - (3 * 25) mod 37
[426] ['3', '25', '30'] -> 3 - (30 / 25) mod 37
[427] ['3', '25', '36'] -> (36 / 3) - 25 mod 37
[428] ['3', '26', '35'] -> (35 - 3) / 26 mod 37
[429] ['3', '29', '30'] -> (3 * 30) - 29 mod 37
[430] ['3', '29', '32'] -> 32 / (29 - 3) mod 37
[431] ['3', '29', '33'] -> (33 - 3) / 29 mod 37
[432] ['3', '30', '31'] -> 31 * (3 + 30) mod 37
[433] ['3', '30', '33'] -> (33 / 30) - 3 mod 37
[434] ['3', '30', '36'] -> 3 - (36 / 30) mod 37
[435] ['3', '32', '36'] -> (32 / 3) - 36 mod 37
[436] ['3', '33', '33'] -> 3 - (33 * 33) mod 37
[437] ['3', '33', '36'] -> 36 + (3 * 33) mod 37
