[364] ['1', '28', '58'] -> 58 / (28 - 1) mod 59
[365] ['1', '29', '33'] -> (1 / 29) - 33 mod 59
[366] ['1', '29', '36'] -> 36 / (1 - 29) mod 59
[367] ['1', '29', '41'] -> 1 - (41 / 29) mod 59
[368] ['1', '29', '42'] -> 29 / (1 + 42) mod 59
[369] ['1', '29', '44'] -> 29 / (44 - 1) mod 59
[370] ['1', '29', '50'] -> 1 + (29 / 50) mod 59
[371] ['1', '29', '56'] -> 1 / (29 - 56) mod 59
[372] ['1', '30', '36'] -> 36 / (1 + 30) mod 59
[373] ['1', '30', '37'] -> (1 / 30) - 37 mod 59
[374] ['1', '30', '41'] -> 1 + (41 / 30) mod 59
[375] ['1', '30', '42'] -> (42 / 30) - 1 mod 59
[376] ['1', '30', '43'] -> (30 - 1) / 43 mod 59
[377] ['1', '30', '44'] -> 30 / (1 - 44) mod 59
[378] ['1', '30', '46'] -> 1 + (30 * 46) mod 59
[379] ['1', '30', '57'] -> 1 / (30 - 57) mod 59
[380] ['1', '31', '32'] -> 1 - (31 / 32) mod 59
[381] ['1', '31', '37'] -> (37 - 1) / 31 mod 59
[382] ['1', '31', '39'] -> (31 / 39) - 1 mod 59
[383] ['1', '31', '42'] -> 31 + (1 / 42) mod 59
[384] ['1', '31', '45'] -> 45 * (1 + 31) mod 59
[385] ['1', '31', '49'] -> 31 / (49 - 1) mod 59
[386] ['1', '31', '58'] -> 1 / (31 - 58) mod 59
[387] ['1', '32', '33'] -> (33 / 32) - 1 mod 59
[388] ['1', '32', '36'] -> 36 / (32 - 1) mod 59
[389] ['1', '32', '37'] -> 32 - (1 / 37) mod 59
[390] ['1', '32', '38'] -> 1 - (32 * 38) mod 59
[391] ['1', '32', '43'] -> 43 * (1 - 32) mod 59
[392] ['1', '32', '44'] -> 32 * (1 + 44) mod 59
[393] ['1', '32', '46'] -> 32 * (46 - 1) mod 59
[394] ['1', '32', '49'] -> 49 * (1 + 32) mod 59
[395] ['1', '32', '53'] -> (1 + 32) / 53 mod 59
[396] ['1', '33', '35'] -> (1 - 35) / 33 mod 59
[397] ['1', '33', '38'] -> (1 - 33) / 38 mod 59
[398] ['1', '33', '44'] -> 1 - (33 * 44) mod 59
[399] ['1', '33', '45'] -> 45 * (33 - 1) mod 59
[400] ['1', '33', '46'] -> 33 - (1 / 46) mod 59
[401] ['1', '33', '48'] -> 33 * (1 + 48) mod 59
[402] ['1', '33', '52'] -> 33 / (1 + 52) mod 59
[403] ['1', '33', '54'] -> 33 / (54 - 1) mod 59
[404] ['1', '33', '55'] -> 1 - (33 / 55) mod 59
