[252] ['2', '2', '4'] -> 2 + (2 / 4) mod 43
[253] ['2', '2', '7'] -> (7 - 2) / 2 mod 43
[254] ['2', '2', '11'] -> 2 + (2 * 11) mod 43
[255] ['2', '2', '13'] -> (2 * 13) - 2 mod 43
[256] ['2', '2', '14'] -> 2 * (14 - 2) mod 43
[257] ['2', '2', '16'] -> 2 / (2 + 16) mod 43
[258] ['2', '2', '25'] -> 25 - (2 / 2) mod 43
[259] ['2', '2', '27'] -> 2 / (2 - 27) mod 43
[260] ['2', '2', '32'] -> 2 - (2 * 32) mod 43
[261] ['2', '2', '33'] -> 2 * (2 - 33) mod 43
[262] ['2', '2', '39'] -> 2 - (2 / 39) mod 43
[263] ['2', '2', '40'] -> (2 - 40) / 2 mod 43
[264] ['2', '2', '42'] -> 2 - (42 / 2) mod 43
[265] ['2', '3', '7'] -> 2 - (3 * 7) mod 43
[266] ['2', '3', '8'] -> (8 - 3) / 2 mod 43
[267] ['2', '3', '10'] -> 3 * (10 - 2) mod 43
[268] ['2', '3', '21'] -> 2 / (21 - 3) mod 43
[269] ['2', '3', '22'] -> 22 * (2 + 3) mod 43
[270] ['2', '3', '27'] -> (2 + 27) / 3 mod 43
[271] ['2', '3', '28'] -> 2 / (3 - 28) mod 43
[272] ['2', '3', '30'] -> 30 - (2 * 3) mod 43
[273] ['2', '3', '31'] -> (31 - 2) / 3 mod 43
[274] ['2', '3', '32'] -> 3 + (2 * 32) mod 43
[275] ['2', '3', '41'] -> (3 - 41) / 2 mod 43
[276] ['2', '4', '4'] -> 4 * (2 + 4) mod 43
[277] ['2', '4', '10'] -> 4 + (2 * 10) mod 43
[278] ['2', '4', '11'] -> (2 + 4) / 11 mod 43
[279] ['2', '4', '15'] -> 15 / (2 + 4) mod 43
[280] ['2', '4', '28'] -> (4 * 28) - 2 mod 43
[281] ['2', '4', '31'] -> 31 * (2 - 4) mod 43
[282] ['2', '4', '32'] -> 32 - (2 * 4) mod 43
[283] ['2', '4', '33'] -> 4 - (2 * 33) mod 43
[284] ['2', '4', '34'] -> 4 / (2 + 34) mod 43
[285] ['2', '4', '39'] -> 4 * (2 - 39) mod 43
[286] ['2', '4', '42'] -> (4 - 42) / 2 mod 43
[287] ['2', '5', '5'] -> 5 - (5 / 2) mod 43
[288] ['2', '5', '6'] -> (2 / 6) - 5 mod 43
[289] ['2', '5', '7'] -> 2 * (5 + 7) mod 43
[290] ['2', '5', '8'] -> 8 * (5 - 2) mod 43
[291] ['2', '5', '12'] -> 5 - (2 * 12) mod 43
[292] ['2', '5', '18'] -> 5 - (2 / 18) mod 43
[293] ['2', '5', '19'] -> 2 - (19 / 5) mod 43
[294] ['2', '5', '32'] -> (2 + 32) / 5 mod 43
[295] ['2', '5', '34'] -> 34 - (2 * 5) mod 43
[296] ['2', '5', '35'] -> 35 * (2 - 5) mod 43
[297] ['2', '5', '39'] -> 39 / (2 + 5) mod 43
[298] ['2', '6', '11'] -> (11 - 6) / 2 mod 43
[299] ['2', '6', '19'] -> 6 - (2 / 19) mod 43
[300] ['2', '6', '21'] -> 21 + (6 / 2) mod 43
[301] ['2', '6', '25'] -> 2 - (6 * 25) mod 43
[302] ['2', '6', '38'] -> 38 + (2 / 6) mod 43
[303] ['2', '6', '40'] -> 2 - (40 / 6) mod 43
[304] ['2', '6', '41'] -> 6 * (2 - 41) mod 43
[305] ['2', '6', '42'] -> (6 + 42) / 2 mod 43
[306] ['2', '7', '7'] -> (2 / 7) - 7 mod 43
[307] ['2', '7', '11'] -> 2 / (7 + 11) mod 43
[308] ['2', '7', '16'] -> (7 * 16) - 2 mod 43
[309] ['2', '7', '26'] -> 7 * (2 + 26) mod 43
[310] ['2', '7', '32'] -> 2 / (7 - 32) mod 43
[311] ['2', '7', '36'] -> 36 + (2 / 7) mod 43
[312] ['2', '7', '42'] -> 42 + (7 / 2) mod 43
[313] ['2', '8', '21'] -> (21 / 2) - 8 mod 43
[314] ['2', '8', '22'] -> (22 - 2) / 8 mod 43
[315] ['2', '8', '26'] -> 2 / (26 - 8) mod 43
[316] ['2', '8', '31'] -> 8 / (31 - 2) mod 43
[317] ['2', '8', '33'] -> 2 / (8 - 33) mod 43
[318] ['2', '8', '42'] -> 8 * (2 - 42) mod 43
[319] ['2', '9', '9'] -> 2 / (9 + 9) mod 43
[320] ['2', '9', '10'] -> 10 * (2 + 9) mod 43
[321] ['2', '9', '18'] -> 2 + (9 / 18) mod 43
[322] ['2', '9', '20'] -> (9 - 2) / 20 mod 43
[323] ['2', '9', '21'] -> 2 * (21 - 9) mod 43
[324] ['2', '9', '24'] -> (2 / 9) - 24 mod 43
[325] ['2', '9', '25'] -> 2 - (9 / 25) mod 43
[326] ['2', '9', '27'] -> 2 / (27 - 9) mod 43
[327] ['2', '9', '36'] -> 9 / (2 + 36) mod 43
