Gaussian Integer 3-Nums Unique Solutions (Formatted)
----------------------------------------
[211] ['8i', '8i', '(1+3i)'] -> (8i - ((1+3i) * 8i))
[212] ['8i', '1', '(1+3i)'] -> ((1 - (1+3i)) * 8i)
[213] ['8i', '(1+i)', '(1+4i)'] -> (((1+i) - (1+4i)) * 8i)
[214] ['8i', '(1+2i)', '(1+5i)'] -> (((1+2i) - (1+5i)) * 8i)
[215] ['8i', '(1+2i)', '(8+8i)'] -> ((8+8i) - ((1+2i) * 8i))
[216] ['8i', '(1+3i)', '(1+6i)'] -> (((1+3i) - (1+6i)) * 8i)
[217] ['8i', '(1+4i)', '(1+7i)'] -> (((1+4i) - (1+7i)) * 8i)
[218] ['8i', '(1+5i)', '(1+8i)'] -> (((1+5i) - (1+8i)) * 8i)
[219] ['8i', '(1+6i)', '(1+9i)'] -> (((1+6i) - (1+9i)) * 8i)
[220] ['8i', '(7+3i)', '(7+6i)'] -> (((7+3i) - (7+6i)) * 8i)
[221] ['8i', '(7+4i)', '(7+7i)'] -> (((7+4i) - (7+7i)) * 8i)
[222] ['8i', '(7+5i)', '(7+8i)'] -> (((7+5i) - (7+8i)) * 8i)
[223] ['8i', '(7+6i)', '(7+9i)'] -> (((7+6i) - (7+9i)) * 8i)
[224] ['8i', '8', '(8+3i)'] -> ((8 - (8+3i)) * 8i)
[225] ['8i', '(8+i)', '(8+4i)'] -> (((8+i) - (8+4i)) * 8i)
[226] ['8i', '(8+2i)', '(8+5i)'] -> (((8+2i) - (8+5i)) * 8i)
[227] ['8i', '(8+3i)', '(8+6i)'] -> (((8+3i) - (8+6i)) * 8i)
[228] ['8i', '(8+4i)', '(8+7i)'] -> (((8+4i) - (8+7i)) * 8i)
[229] ['8i', '(8+5i)', '(8+8i)'] -> (((8+5i) - (8+8i)) * 8i)
[230] ['8i', '(8+6i)', '(8+9i)'] -> (((8+6i) - (8+9i)) * 8i)
[231] ['8i', '9', '(9+3i)'] -> ((9 - (9+3i)) * 8i)
[232] ['8i', '(9+i)', '(9+4i)'] -> (((9+i) - (9+4i)) * 8i)
[233] ['8i', '(9+2i)', '(9+5i)'] -> (((9+2i) - (9+5i)) * 8i)
[234] ['8i', '(9+3i)', '(9+6i)'] -> (((9+3i) - (9+6i)) * 8i)
[235] ['8i', '(9+4i)', '(9+7i)'] -> (((9+4i) - (9+7i)) * 8i)
[236] ['8i', '(9+5i)', '(9+8i)'] -> (((9+5i) - (9+8i)) * 8i)
[237] ['8i', '(9+6i)', '(9+9i)'] -> (((9+6i) - (9+9i)) * 8i)
[238] ['8i', '2', '(2+3i)'] -> ((2 - (2+3i)) * 8i)
[239] ['8i', '(2+i)', '(2+4i)'] -> (((2+i) - (2+4i)) * 8i)
[240] ['8i', '(2+2i)', '(2+5i)'] -> (((2+2i) - (2+5i)) * 8i)
[241] ['8i', '(2+2i)', '(6+2i)'] -> (((6+2i) - 8i) * (2+2i))
[242] ['8i', '(2+3i)', '(2+6i)'] -> (((2+3i) - (2+6i)) * 8i)
[243] ['8i', '(2+4i)', '(2+7i)'] -> (((2+4i) - (2+7i)) * 8i)
[244] ['8i', '(3+i)', '8'] -> (((3+i) * 8) - 8i)
[245] ['8i', '(3+2i)', '(3+5i)'] -> (((3+2i) - (3+5i)) * 8i)
[246] ['8i', '(3+3i)', '(3+6i)'] -> (((3+3i) - (3+6i)) * 8i)
[247] ['8i', '(3+3i)', '(4+4i)'] -> (((4+4i) - 8i) * (3+3i))
[248] ['8i', '(3+4i)', '(3+7i)'] -> (((3+4i) - (3+7i)) * 8i)
[249] ['8i', '(3+5i)', '(3+8i)'] -> (((3+5i) - (3+8i)) * 8i)
[250] ['8i', '(3+5i)', '(4+4i)'] -> (((3+5i) - 8i) * (4+4i))
[251] ['8i', '(3+6i)', '(3+9i)'] -> (((3+6i) - (3+9i)) * 8i)
[252] ['8i', '(3+8i)', '8'] -> (((3+8i) - 8i) * 8)
