[224] ['1', '5', '11', '22'] -> 22 * (1 + (5 / 11)) base 6
[225] ['1', '5', '11', '24'] -> (5 * (1 + 11)) - 24 base 6
[226] ['1', '5', '11', '25'] -> (1 + (11 * 25)) / 5 base 6
[227] ['1', '5', '11', '30'] -> (11 * (1 + 5)) - 30 base 6
[228] ['1', '5', '12', '21'] -> (5 * (21 - 12)) - 1 base 6
[229] ['1', '5', '12', '40'] -> (12 * (1 + 5)) - 40 base 6
[230] ['1', '5', '13', '21'] -> (1 + 5) * (21 - 13) base 6
[231] ['1', '5', '13', '22'] -> (5 * (22 - 13)) - 1 base 6
[232] ['1', '5', '14', '22'] -> (1 + 5) * (22 - 14) base 6
[233] ['1', '5', '14', '23'] -> (5 * (23 - 14)) - 1 base 6
[234] ['1', '5', '14', '25'] -> 14 * ((25 / 5) - 1) base 6
[235] ['1', '5', '14', '51'] -> (5 * (1 + 14)) - 51 base 6
[236] ['1', '5', '15', '15'] -> ((15 * 15) - 1) / 5 base 6
[237] ['1', '5', '15', '23'] -> (1 + 5) * (23 - 15) base 6
[238] ['1', '5', '15', '24'] -> (5 * (24 - 15)) - 1 base 6
[239] ['1', '5', '20', '22'] -> 22 / (1 - (5 / 20)) base 6
[240] ['1', '5', '20', '23'] -> 20 * ((23 / 5) - 1) base 6
[241] ['1', '5', '20', '34'] -> 34 + (20 / (1 + 5)) base 6
[242] ['1', '5', '20', '40'] -> (20 * (5 - 1)) - 40 base 6
[243] ['1', '5', '20', '42'] -> 42 - (20 / (1 + 5)) base 6
[244] ['1', '5', '20', '54'] -> 54 / (1 + (5 / 20)) base 6
[245] ['1', '5', '21', '30'] -> (5 * (30 - 21)) - 1 base 6
[246] ['1', '5', '21', '44'] -> (21 * (5 - 1)) - 44 base 6
[247] ['1', '5', '22', '30'] -> (1 + 5) * (30 - 22) base 6
[248] ['1', '5', '22', '31'] -> (5 * (31 - 22)) - 1 base 6
[249] ['1', '5', '22', '33'] -> 33 + ((1 + 22) / 5) base 6
[250] ['1', '5', '22', '43'] -> 43 - ((1 + 22) / 5) base 6
[251] ['1', '5', '23', '24'] -> 24 / (1 - (5 / 23)) base 6
[252] ['1', '5', '23', '30'] -> 30 * (1 + (5 / 23)) base 6
[253] ['1', '5', '23', '31'] -> (1 + 5) * (31 - 23) base 6
[254] ['1', '5', '23', '52'] -> 52 / (1 + (5 / 23)) base 6
[255] ['1', '5', '25', '33'] -> (1 + 5) * (33 - 25) base 6
[256] ['1', '5', '25', '34'] -> (5 * (34 - 25)) - 1 base 6
[257] ['1', '5', '30', '32'] -> 30 / (1 - (5 / 32)) base 6
[258] ['1', '5', '30', '33'] -> 33 + (30 / (1 + 5)) base 6
[259] ['1', '5', '30', '34'] -> (1 + 5) * (34 - 30) base 6
[260] ['1', '5', '30', '35'] -> (5 * (35 - 30)) - 1 base 6
[261] ['1', '5', '30', '43'] -> 43 - (30 / (1 + 5)) base 6
[262] ['1', '5', '30', '45'] -> 30 + ((1 + 45) / 5) base 6
[263] ['1', '5', '31', '31'] -> 31 * (1 + (5 / 31)) base 6
[264] ['1', '5', '31', '35'] -> (1 + 5) * (35 - 31) base 6
[265] ['1', '5', '31', '44'] -> 44 - ((1 + 31) / 5) base 6
[266] ['1', '5', '32', '52'] -> 52 * (1 - (5 / 32)) base 6
[267] ['1', '5', '33', '41'] -> (1 + 5) * (41 - 33) base 6
[268] ['1', '5', '33', '42'] -> (5 * (42 - 33)) - 1 base 6
[269] ['1', '5', '34', '42'] -> (1 + 5) * (42 - 34) base 6
[270] ['1', '5', '34', '43'] -> (5 * (43 - 34)) - 1 base 6
[271] ['1', '5', '35', '43'] -> (1 + 5) * (43 - 35) base 6
[272] ['1', '5', '35', '44'] -> (5 * (44 - 35)) - 1 base 6
[273] ['1', '5', '42', '50'] -> (1 + 5) * (50 - 42) base 6
