[1] ['1', '1', '1', '6'] -> (1 + 1 + 1) * 6 base 7
[318] ['21', '33', '42', '60'] -> ((42 + 60) / 33) + 21 base 7
[319] ['21', '33', '43', '56'] -> ((43 + 56) / 33) + 21 base 7
[320] ['21', '33', '44', '66'] -> ((21 * 44) - 66) / 33 base 7
[321] ['21', '33', '45', '53'] -> ((21 * 53) + 33) / 45 base 7
[322] ['21', '33', '45', '54'] -> ((45 + 54) / 33) + 21 base 7
[323] ['21', '33', '46', '53'] -> ((46 + 53) / 33) + 21 base 7
[324] ['21', '33', '53', '62'] -> ((21 * 62) + 33) / 53 base 7
[325] ['1', '33', '36', '66'] -> 36 / ((33 / 66) + 1) base 7
[326] ['21', '33', '60', '66'] -> 33 - ((60 + 66) / 21) base 7
[327] ['21', '33', '61', '65'] -> 33 - ((61 + 65) / 21) base 7
[328] ['21', '34', '36', '40'] -> ((40 - 34) * 21) - 36 base 7
[329] ['21', '34', '36', '63'] -> ((21 * 36) + 63) / 34 base 7
[330] ['21', '34', '40', '54'] -> (21 + 54) / (40 - 34) base 7
[331] ['21', '34', '40', '65'] -> ((40 + 65) / 34) + 21 base 7
[332] ['21', '34', '41', '60'] -> ((41 - 34) * 21) - 60 base 7
[333] ['21', '34', '41', '64'] -> ((41 + 64) / 34) + 21 base 7
[334] ['21', '34', '43', '62'] -> ((43 + 62) / 34) + 21 base 7
[335] ['21', '34', '44', '61'] -> ((44 + 61) / 34) + 21 base 7
[336] ['1', '1', '34', '46'] -> (1 + 1) * (46 - 34) base 7
[337] ['1', '33', '40', '54'] -> 54 / ((40 / 33) + 1) base 7
[338] ['21', '34', '45', '60'] -> ((45 + 60) / 34) + 21 base 7
[339] ['21', '34', '46', '56'] -> ((46 + 56) / 34) + 21 base 7
[340] ['21', '34', '50', '55'] -> ((50 + 55) / 34) + 21 base 7
[341] ['21', '34', '51', '54'] -> ((51 + 54) / 34) + 21 base 7
[342] ['21', '34', '52', '53'] -> ((52 + 53) / 34) + 21 base 7
[343] ['21', '35', '36', '41'] -> ((41 - 35) * 21) - 36 base 7
[344] ['21', '35', '36', '66'] -> (21 * 66) - (35 * 36) base 7
[345] ['21', '35', '41', '45'] -> ((21 * 41) + 45) / 35 base 7
[346] ['21', '35', '41', '54'] -> (21 + 54) / (41 - 35) base 7
[347] ['21', '35', '42', '66'] -> ((42 + 66) / 35) + 21 base 7
[348] ['1', '33', '44', '60'] -> 60 / ((44 / 33) + 1) base 7
[349] ['21', '35', '43', '65'] -> ((43 + 65) / 35) + 21 base 7
[350] ['21', '35', '44', '64'] -> ((44 + 64) / 35) + 21 base 7
[351] ['21', '35', '45', '63'] -> ((45 + 63) / 35) + 21 base 7
[352] ['21', '35', '46', '60'] -> ((21 * 46) - 60) / 35 base 7
[353] ['21', '35', '46', '62'] -> ((46 + 62) / 35) + 21 base 7
[354] ['21', '35', '50', '61'] -> ((50 + 61) / 35) + 21 base 7
[355] ['21', '35', '51', '60'] -> ((51 + 60) / 35) + 21 base 7
[356] ['21', '35', '52', '56'] -> ((52 + 56) / 35) + 21 base 7
[357] ['21', '35', '53', '55'] -> ((53 + 55) / 35) + 21 base 7
