[1] ['1', '1', '1', 'C'] -> (1 + 1 + 1) * C base 16
[237] ['1', '12', '20', '20'] -> ((20 / 20) + 1) * 12 base 16
[238] ['10', '1A', '2E', '30'] -> ((30 - 2E) * 1A) - 10 base 16
[239] ['10', '1A', '2F', '31'] -> ((31 - 2F) * 1A) - 10 base 16
[240] ['10', '1B', '1C', '1F'] -> ((1F - 1B) * 10) - 1C base 16
[241] ['10', '1B', '1C', '2D'] -> (1B * 1C) - (10 * 2D) base 16
[242] ['10', '1B', '20', '25'] -> ((1B + 25) / 10) + 20 base 16
[243] ['10', '1B', '22', '26'] -> ((10 + 26) / 1B) + 22 base 16
[244] ['10', '1B', '25', '28'] -> 28 - ((1B + 25) / 10) base 16
[245] ['10', '1B', '26', '26'] -> 26 - ((10 + 26) / 1B) base 16
[246] ['10', '1C', '1C', '20'] -> ((20 - 1C) * 10) - 1C base 16
[247] ['10', '1C', '1D', '21'] -> ((21 - 1D) * 10) - 1C base 16
[248] ['1', '12', '20', '30'] -> 12 / ((30 / 20) - 1) base 16
[249] ['10', '1C', '1F', '23'] -> ((23 - 1F) * 10) - 1C base 16
[250] ['10', '1C', '21', '25'] -> ((25 - 21) * 10) - 1C base 16
[251] ['10', '1C', '21', '2B'] -> ((1C * 2B) - 10) / 21 base 16
[252] ['10', '1C', '21', '2C'] -> ((21 - 1C) * 10) - 2C base 16
[253] ['10', '1C', '22', '26'] -> ((26 - 22) * 10) - 1C base 16
[254] ['10', '1C', '23', '27'] -> ((27 - 23) * 10) - 1C base 16
[255] ['10', '1C', '25', '29'] -> ((29 - 25) * 10) - 1C base 16
[256] ['10', '1C', '25', '2F'] -> ((1C * 2F) + 10) / 25 base 16
[257] ['10', '1C', '27', '2B'] -> ((2B - 27) * 10) - 1C base 16
[258] ['10', '1C', '28', '2C'] -> ((2C - 28) * 10) - 1C base 16
[259] ['1', '12', '21', '21'] -> ((21 / 21) + 1) * 12 base 16
[260] ['10', '1C', '29', '2D'] -> ((2D - 29) * 10) - 1C base 16
[261] ['10', '1C', '2A', '2E'] -> ((2E - 2A) * 10) - 1C base 16
[262] ['10', '1C', '2B', '2F'] -> ((2F - 2B) * 10) - 1C base 16
[263] ['10', '1C', '2C', '30'] -> ((30 - 2C) * 10) - 1C base 16
[264] ['10', '1C', '2D', '31'] -> ((31 - 2D) * 10) - 1C base 16
[265] ['10', '1D', '20', '23'] -> ((1D + 23) / 10) + 20 base 16
[266] ['10', '1D', '22', '2A'] -> ((10 + 2A) / 1D) + 22 base 16
[267] ['10', '1D', '22', '2C'] -> ((22 - 1D) * 10) - 2C base 16
[268] ['10', '1D', '23', '28'] -> 28 - ((1D + 23) / 10) base 16
[269] ['10', '1D', '26', '2A'] -> 26 - ((10 + 2A) / 1D) base 16
[270] ['1', '12', '23', '23'] -> ((23 / 23) + 1) * 12 base 16
[271] ['10', '1E', '23', '2C'] -> ((23 - 1E) * 10) - 2C base 16
[272] ['10', '1E', '2F', '31'] -> ((2F + 31) / 10) + 1E base 16
[273] ['10', '1E', '30', '30'] -> ((30 + 30) / 10) + 1E base 16
[274] ['10', '1F', '1F', '31'] -> ((1F + 31) / 10) + 1F base 16
[275] ['10', '1F', '20', '21'] -> ((1F + 21) / 10) + 20 base 16
[276] ['10', '1F', '20', '30'] -> ((20 + 30) / 10) + 1F base 16
[277] ['10', '1F', '21', '2F'] -> ((21 + 2F) / 10) + 1F base 16
[278] ['10', '1F', '22', '28'] -> ((1F * 28) - 10) / 22 base 16
[279] ['10', '1F', '23', '2D'] -> ((23 + 2D) / 10) + 1F base 16
[280] ['10', '1F', '25', '2B'] -> ((25 + 2B) / 10) + 1F base 16
[281] ['1', '12', '25', '25'] -> ((25 / 25) + 1) * 12 base 16
[282] ['10', '1F', '26', '2A'] -> ((26 + 2A) / 10) + 1F base 16
[283] ['10', '1F', '26', '2E'] -> 26 - ((10 + 2E) / 1F) base 16
[284] ['10', '1F', '27', '29'] -> ((27 + 29) / 10) + 1F base 16
[285] ['10', '1F', '28', '28'] -> ((28 + 28) / 10) + 1F base 16
[286] ['10', '1F', '29', '31'] -> 29 - ((1F + 31) / 10) base 16
[287] ['10', '20', '20', '20'] -> ((20 + 20) / 10) + 20 base 16
[288] ['10', '20', '22', '30'] -> ((10 + 30) / 20) + 22 base 16
[289] ['10', '20', '24', '29'] -> ((20 * 29) - 10) / 24 base 16
[290] ['10', '20', '25', '2C'] -> ((25 - 20) * 10) - 2C base 16
[291] ['10', '20', '29', '30'] -> 29 - ((20 + 30) / 10) base 16
[292] ['1', '12', '27', '27'] -> ((27 / 27) + 1) * 12 base 16
[293] ['10', '20', '2C', '31'] -> ((20 * 31) + 10) / 2C base 16
[294] ['10', '21', '26', '2C'] -> ((26 - 21) * 10) - 2C base 16
[295] ['10', '21', '29', '2F'] -> 29 - ((21 + 2F) / 10) base 16
[296] ['10', '22', '27', '2C'] -> ((27 - 22) * 10) - 2C base 16
[297] ['10', '22', '29', '2E'] -> 29 - ((22 + 2E) / 10) base 16
[298] ['10', '22', '2B', '2E'] -> ((22 * 2E) - 10) / 2B base 16
[299] ['10', '23', '28', '2C'] -> ((28 - 23) * 10) - 2C base 16
[300] ['10', '23', '29', '2D'] -> 29 - ((23 + 2D) / 10) base 16
[301] ['10', '25', '29', '2B'] -> 29 - ((25 + 2B) / 10) base 16
