[1] ['i', 'i', '4i', '(1+6i)'] -> ((i / i) - 1+6i) * 4i
[200] ['4i', '(2+4i)', '4', '(5+i)'] -> (4 + 4i) * (5+i - 2+4i)
[201] ['4i', '(2+4i)', '(4+2i)', '(6+2i)'] -> (4+2i - 2+4i) * (4i + 6+2i)
[202] ['i', '(2+6i)', '(3+i)', '(4+4i)'] -> ((2+6i / i) - 3+i) * 4+4i
[203] ['4i', '(2+4i)', '6', '(6+3i)'] -> (2+4i * 6) - (4i * 6+3i)
[204] ['4i', '(2+5i)', '4', '(5+2i)'] -> (4 + 4i) * (5+2i - 2+5i)
[205] ['4i', '(2+5i)', '4', '(5+4i)'] -> (2+5i * 4) - (4i * 5+4i)
[206] ['4i', '(2+6i)', '(2+6i)', '(3+4i)'] -> ((2+6i / 3+4i) - 4i) * 2+6i
[207] ['4i', '(2+6i)', '(2+6i)', '(6+2i)'] -> (4i * 6+2i) - (2+6i * 2+6i)
[208] ['4i', '(2+6i)', '3', '6'] -> ((6 / 3) - 2+6i) * 4i
[209] ['4i', '(2+6i)', '(3+i)', '(6+2i)'] -> ((6+2i / 3+i) - 2+6i) * 4i
[210] ['4i', '(2+6i)', '4', '(5+3i)'] -> (4 + 4i) * (5+3i - 2+6i)
[211] ['4i', '(2+6i)', '(4+2i)', '(4+4i)'] -> ((4+4i / 4+2i) - 4i) * 2+6i
[212] ['4i', '(2+6i)', '(4+4i)', '(6+2i)'] -> (4+4i - 2+6i) * (4i + 6+2i)
[213] ['i', '1', '3', '(6+i)'] -> (1 + 3) * (6+i - i)
[214] ['4i', '(2+6i)', '5', '(6+2i)'] -> ((6+2i / 5) - 4i) * 2+6i
[215] ['4i', '3', '3', '(4+4i)'] -> (3 + 3) * (4+4i - 4i)
[216] ['4i', '3', '(3+i)', '4'] -> ((3 + 3+i) * 4) - 4i
[217] ['4i', '3', '(3+3i)', '(4+4i)'] -> (3 * 4+4i) - (3+3i * 4i)
[218] ['4i', '3', '(3+5i)', '(5+3i)'] -> ((3 - 4i) * 3+5i) - 5+3i
[219] ['4i', '3', '(4+2i)', '6'] -> (4+2i * 6) - (3 * 4i)
[220] ['4i', '(3+i)', '(3+2i)', '(6+2i)'] -> (3+i * 6+2i) - (3+2i * 4i)
[221] ['4i', '6i', '(2+6i)', '(3+3i)'] -> (3+3i * 4i) - (2+6i * 6i)
[222] ['4i', '6i', '(3+i)', '(3+5i)'] -> ((3+i - 4i) * 3+5i) - 6i
[223] ['4i', '6i', '(3+3i)', '4'] -> (3+3i - 6i) * (4 + 4i)
[224] ['2i', '2i', '6i', '(1+4i)'] -> ((2i / 2i) - 1+4i) * 6i
[225] ['i', '1', '(3+3i)', '(4+5i)'] -> ((4+5i / i) - 1) * 3+3i
[226] ['4i', '6i', '(3+3i)', '(5+i)'] -> ((5+i - 4i) * 3+3i) - 6i
[227] ['4i', '6i', '(4+4i)', '6'] -> (4i * 6) - (4+4i * 6i)
[228] ['4i', '6i', '(4+5i)', '6'] -> ((4+5i - 4i) * 6) - 6i
[229] ['4i', '1', '(1+2i)', '(1+6i)'] -> ((1 - 4i) * 1+6i) - 1+2i
[230] ['4i', '1', '(2+3i)', '4'] -> (1 + 2+3i) * (4 - 4i)
[231] ['4i', '1', '3', '(3+4i)'] -> ((3 - 4i) * 3+4i) - 1
[232] ['4i', '1', '3', '(6+i)'] -> ((1 + 3) * 6+i) - 4i
[233] ['4i', '1', '(3+i)', '(3+4i)'] -> (1 + 3+4i) * (3+i - 4i)
