[1] ['1', '1', '1', '8'] -> (1 + 1 + 1) * 8
[314] ['1', '16', '18', '45'] -> ((45 / 18) - 1) * 16
[315] ['15', '29', '30', '45'] -> 29 - ((30 + 45) / 15)
[316] ['15', '29', '31', '33'] -> (15 + 33) / (31 - 29)
[317] ['15', '29', '31', '44'] -> 29 - ((31 + 44) / 15)
[318] ['15', '29', '32', '43'] -> 29 - ((32 + 43) / 15)
[319] ['15', '29', '33', '42'] -> 29 - ((33 + 42) / 15)
[320] ['15', '29', '34', '41'] -> 29 - ((34 + 41) / 15)
[321] ['15', '29', '36', '44'] -> ((15 * 44) + 36) / 29
[322] ['15', '29', '37', '38'] -> 29 - ((37 + 38) / 15)
[323] ['15', '30', '30', '46'] -> ((15 * 46) + 30) / 30
[324] ['15', '30', '32', '33'] -> (15 + 33) / (32 - 30)
[325] ['1', '16', '18', '47'] -> (1 + 47) / (18 - 16)
[326] ['15', '30', '41', '49'] -> 30 - ((41 + 49) / 15)
[327] ['15', '30', '42', '48'] -> 30 - ((42 + 48) / 15)
[328] ['15', '30', '43', '47'] -> 30 - ((43 + 47) / 15)
[329] ['15', '31', '33', '33'] -> (15 + 33) / (33 - 31)
[330] ['15', '31', '33', '42'] -> ((31 * 33) - 15) / 42
[331] ['15', '32', '33', '34'] -> (15 + 33) / (34 - 32)
[332] ['15', '32', '33', '49'] -> ((15 * 49) + 33) / 32
[333] ['15', '32', '48', '48'] -> ((15 * 48) + 48) / 32
[334] ['15', '33', '33', '35'] -> (15 + 33) / (35 - 33)
[335] ['15', '33', '33', '46'] -> ((33 * 33) + 15) / 46
[336] ['1', '1', '13', '22'] -> (22 / (1 + 1)) + 13
[337] ['1', '16', '19', '38'] -> ((19 / 38) + 1) * 16
[338] ['15', '33', '34', '36'] -> (15 + 33) / (36 - 34)
[339] ['15', '33', '36', '38'] -> (15 + 33) / (38 - 36)
[340] ['15', '33', '37', '39'] -> (15 + 33) / (39 - 37)
[341] ['15', '33', '38', '40'] -> (15 + 33) / (40 - 38)
[342] ['15', '33', '39', '41'] -> (15 + 33) / (41 - 39)
[343] ['15', '33', '41', '43'] -> (15 + 33) / (43 - 41)
[344] ['15', '33', '42', '44'] -> (15 + 33) / (44 - 42)
[345] ['15', '33', '43', '45'] -> (15 + 33) / (45 - 43)
[346] ['15', '33', '44', '46'] -> (15 + 33) / (46 - 44)
[347] ['15', '33', '45', '47'] -> (15 + 33) / (47 - 45)
[348] ['1', '16', '20', '40'] -> ((20 / 40) + 1) * 16
[349] ['15', '33', '47', '49'] -> (15 + 33) / (49 - 47)
[350] ['16', '17', '25', '41'] -> ((17 * 25) - 41) / 16
[351] ['16', '17', '27', '31'] -> 27 - ((17 + 31) / 16)
[352] ['16', '17', '28', '40'] -> ((16 * 28) - 40) / 17
[353] ['16', '17', '28', '47'] -> 28 - ((17 + 47) / 16)
[354] ['16', '17', '29', '40'] -> ((17 * 40) + 16) / 29
[355] ['16', '17', '40', '41'] -> (17 * 40) - (16 * 41)
[356] ['16', '17', '40', '44'] -> (16 * 44) - (17 * 40)
[357] ['16', '18', '18', '21'] -> ((18 - 16) * 21) - 18
[358] ['16', '18', '19', '42'] -> ((18 * 19) + 42) / 16
[359] ['1', '16', '21', '35'] -> 16 / ((35 / 21) - 1)
[360] ['16', '18', '20', '20'] -> ((20 - 18) * 20) - 16
[361] ['16', '18', '20', '21'] -> (18 * 20) - (16 * 21)
[362] ['16', '18', '20', '26'] -> 26 - ((16 + 20) / 18)
[363] ['16', '18', '21', '27'] -> (21 + 27) / (18 - 16)
[364] ['16', '18', '21', '38'] -> ((16 + 38) / 18) + 21
[365] ['16', '18', '22', '23'] -> ((18 - 16) * 23) - 22
[366] ['16', '18', '22', '40'] -> ((22 - 18) * 16) - 40
[367] ['16', '18', '23', '25'] -> (23 + 25) / (18 - 16)
[368] ['16', '18', '23', '30'] -> ((18 * 23) - 30) / 16
[369] ['16', '18', '25', '32'] -> ((16 * 25) + 32) / 18
[370] ['1', '16', '21', '42'] -> ((21 / 42) + 1) * 16
[371] ['16', '18', '26', '28'] -> ((18 - 16) * 26) - 28
[372] ['16', '18', '27', '38'] -> 27 - ((16 + 38) / 18)
[373] ['16', '18', '28', '32'] -> ((18 - 16) * 28) - 32
[374] ['16', '18', '28', '46'] -> 28 - ((18 + 46) / 16)
[375] ['16', '18', '29', '32'] -> ((16 * 29) - 32) / 18
[376] ['16', '18', '29', '34'] -> ((18 - 16) * 29) - 34
[377] ['16', '18', '30', '36'] -> ((18 - 16) * 30) - 36
[378] ['16', '18', '31', '38'] -> ((18 - 16) * 31) - 38
[379] ['16', '18', '33', '42'] -> ((18 - 16) * 33) - 42
[380] ['16', '18', '35', '46'] -> ((18 - 16) * 35) - 46
[381] ['1', '16', '21', '47'] -> ((1 + 47) / 16) + 21
[382] ['16', '18', '47', '49'] -> ((47 + 49) / 16) + 18
[383] ['16', '19', '19', '23'] -> ((19 * 19) + 23) / 16
[384] ['16', '19', '19', '33'] -> ((19 - 16) * 19) - 33
[385] ['16', '19', '20', '21'] -> ((21 - 19) * 20) - 16
[386] ['16', '19', '20', '22'] -> ((20 * 22) + 16) / 19
[387] ['16', '19', '20', '36'] -> ((19 - 16) * 20) - 36
[388] ['16', '19', '20', '45'] -> ((19 + 45) / 16) + 20
[389] ['16', '19', '21', '39'] -> ((19 - 16) * 21) - 39
[390] ['16', '19', '21', '41'] -> ((16 + 41) / 19) + 21
[391] ['16', '19', '22', '22'] -> ((16 + 22) / 19) + 22
[392] ['1', '16', '22', '44'] -> ((22 / 44) + 1) * 16
[393] ['16', '19', '22', '26'] -> 26 - ((16 + 22) / 19)
