[308] ['17', '23', '35', '43'] -> ((17 * 35) - 43) / 23
[309] ['17', '23', '40', '41'] -> ((23 * 41) + 17) / 40
[310] ['17', '25', '28', '41'] -> ((17 * 41) - 25) / 28
[311] ['17', '25', '31', '33'] -> ((25 * 31) + 17) / 33
[312] ['17', '25', '33', '39'] -> ((17 * 33) + 39) / 25
[313] ['17', '25', '38', '46'] -> ((17 * 38) - 46) / 25
[314] ['17', '25', '41', '42'] -> ((25 * 41) - 17) / 42
[315] ['17', '26', '28', '38'] -> ((17 * 38) + 26) / 28
[316] ['17', '26', '29', '35'] -> ((17 * 35) + 29) / 26
[317] ['17', '26', '34', '46'] -> ((17 * 34) + 46) / 26
[318] ['17', '26', '39', '39'] -> ((17 * 39) - 39) / 26
[319] ['17', '27', '32', '40'] -> ((17 * 40) - 32) / 27
[320] ['17', '27', '33', '45'] -> ((17 * 45) + 27) / 33
[321] ['17', '27', '36', '36'] -> ((17 * 36) + 36) / 27
[322] ['17', '27', '41', '49'] -> ((17 * 41) - 49) / 27
[323] ['17', '28', '30', '44'] -> ((17 * 44) - 28) / 30
[324] ['17', '28', '30', '48'] -> (28 * 30) - (17 * 48)
[325] ['17', '28', '37', '43'] -> ((17 * 37) + 43) / 28
[326] ['17', '28', '42', '42'] -> ((17 * 42) - 42) / 28
[327] ['17', '29', '33', '39'] -> ((17 * 39) + 33) / 29
[328] ['17', '29', '37', '44'] -> ((29 * 37) - 17) / 44
[329] ['17', '29', '37', '48'] -> 29 - ((37 + 48) / 17)
[330] ['17', '29', '38', '47'] -> 29 - ((38 + 47) / 17)
[331] ['17', '29', '39', '46'] -> 29 - ((39 + 46) / 17)
[332] ['17', '29', '40', '45'] -> 29 - ((40 + 45) / 17)
[333] ['17', '29', '41', '44'] -> 29 - ((41 + 44) / 17)
[334] ['17', '29', '42', '43'] -> 29 - ((42 + 43) / 17)
[335] ['1', '19', '34', '43'] -> ((19 * 43) - 1) / 34
[336] ['17', '30', '40', '40'] -> ((17 * 40) + 40) / 30
[337] ['17', '30', '45', '45'] -> ((17 * 45) - 45) / 30
[338] ['17', '31', '32', '47'] -> ((17 * 47) - 31) / 32
[339] ['17', '31', '36', '49'] -> ((17 * 49) + 31) / 36
[340] ['17', '31', '38', '46'] -> ((17 * 46) - 38) / 31
[341] ['17', '31', '41', '47'] -> ((17 * 41) + 47) / 31
[342] ['17', '32', '37', '43'] -> ((17 * 43) + 37) / 32
[343] ['17', '32', '48', '48'] -> ((17 * 48) - 48) / 32
[344] ['17', '33', '44', '44'] -> ((17 * 44) + 44) / 33
[345] ['17', '36', '48', '48'] -> ((17 * 48) + 48) / 36
[346] ['18', '19', '23', '30'] -> ((19 * 30) - 18) / 23
[347] ['18', '19', '23', '42'] -> ((18 * 23) + 42) / 19
[348] ['18', '19', '25', '43'] -> ((19 * 25) - 43) / 18
[349] ['18', '19', '27', '30'] -> ((18 * 27) - 30) / 19
[350] ['18', '19', '30', '33'] -> (18 * 33) - (19 * 30)
[351] ['18', '19', '34', '42'] -> ((19 * 42) + 18) / 34
[352] ['18', '19', '41', '49'] -> ((41 + 49) / 18) + 19
[353] ['18', '19', '42', '43'] -> (19 * 42) - (18 * 43)
[354] ['18', '19', '42', '48'] -> ((42 + 48) / 18) + 19
[355] ['18', '19', '43', '47'] -> ((43 + 47) / 18) + 19
[356] ['18', '19', '44', '46'] -> ((44 + 46) / 18) + 19
[357] ['18', '19', '45', '45'] -> ((45 + 45) / 18) + 19
[358] ['18', '20', '26', '46'] -> ((26 + 46) / 18) + 20
[359] ['18', '20', '27', '45'] -> ((27 + 45) / 18) + 20
[360] ['18', '20', '28', '44'] -> ((28 + 44) / 18) + 20
[361] ['18', '20', '29', '42'] -> ((18 * 29) - 42) / 20
[362] ['18', '20', '31', '41'] -> ((31 + 41) / 18) + 20
[363] ['18', '20', '33', '38'] -> (18 * 38) - (20 * 33)
[364] ['18', '20', '33', '39'] -> ((33 + 39) / 18) + 20
[365] ['18', '20', '34', '38'] -> ((34 + 38) / 18) + 20
[366] ['18', '20', '35', '37'] -> ((35 + 37) / 18) + 20
[367] ['18', '20', '36', '36'] -> ((36 + 36) / 18) + 20
[368] ['18', '20', '39', '42'] -> (20 * 39) - (18 * 42)
[369] ['18', '20', '42', '48'] -> (18 * 48) - (20 * 42)
[370] ['18', '21', '22', '26'] -> ((21 * 26) - 18) / 22
[371] ['18', '21', '23', '49'] -> (23 + 49) / (21 - 18)
[372] ['18', '21', '25', '47'] -> (25 + 47) / (21 - 18)
[373] ['18', '21', '25', '48'] -> ((25 - 21) * 18) - 48
[374] ['18', '21', '26', '29'] -> (21 * 26) - (18 * 29)
[375] ['18', '21', '26', '46'] -> (26 + 46) / (21 - 18)
[376] ['18', '21', '28', '44'] -> (28 + 44) / (21 - 18)
[377] ['18', '21', '29', '43'] -> (29 + 43) / (21 - 18)
[378] ['18', '21', '31', '41'] -> (31 + 41) / (21 - 18)
[379] ['18', '21', '34', '41'] -> (18 * 41) - (21 * 34)
[380] ['18', '21', '38', '43'] -> (21 * 38) - (18 * 43)
[381] ['18', '21', '41', '46'] -> ((21 * 46) + 18) / 41
[382] ['18', '22', '24', '27'] -> ((22 * 27) - 18) / 24
[383] ['18', '22', '27', '42'] -> ((18 * 27) + 42) / 22
[384] ['18', '22', '30', '31'] -> ((18 * 31) - 30) / 22
[385] ['18', '22', '30', '38'] -> (18 * 38) - (22 * 30)
[386] ['18', '22', '35', '39'] -> ((22 * 39) - 18) / 35
[387] ['18', '22', '39', '49'] -> (18 * 49) - (22 * 39)
[388] ['18', '22', '42', '45'] -> ((22 * 45) + 18) / 42
[389] ['18', '22', '47', '49'] -> (47 + 49) / (22 - 18)
[390] ['18', '22', '48', '48'] -> (48 + 48) / (22 - 18)
[391] ['18', '23', '27', '48'] -> ((27 - 23) * 18) - 48
[392] ['18', '23', '28', '49'] -> 28 - ((23 + 49) / 18)
[393] ['18', '23', '29', '30'] -> ((18 * 29) + 30) / 23
[394] ['18', '23', '30', '37'] -> (23 * 30) - (18 * 37)
[395] ['18', '23', '41', '42'] -> ((23 * 42) + 18) / 41
[396] ['19', '19', '26', '38'] -> ((19 * 26) - 38) / 19
[397] ['19', '19', '38', '47'] -> ((19 * 47) + 19) / 38
[398] ['19', '19', '38', '49'] -> ((19 * 49) - 19) / 38
